A,B,C,D,DotDur,E,F,G,H,ISIdur,NumDur,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,count_ISI,count_digit_loop_1,count_dot,count_experiment,count_get_input_digits,count_get_input_letters,count_get_input_loop_1,count_get_input_loop_2,count_get_input_sequence_1,count_get_input_sequence_2,count_init_1,count_init_2,count_intro_1,count_letter_loop_1,count_number_input_1,count_number_input_2,count_osweb,count_process_input_1,count_process_input_2,count_report_1,count_report_2,count_response_logger_1,count_response_logger_2,count_set_time_vars,count_stimA_1,count_stimA_2,count_stimB_1,count_stimB_2,count_stimC_1,count_stimC_2,count_stimD_1,count_stimD_2,count_stimE_1,count_stimE_2,count_stimF_1,count_stimF_2,count_stimG_1,count_stimG_2,count_stimH_1,count_stimH_2,count_trial_sequence_1,count_trial_sequence_2,datetime,description,disable_garbage_collection,empty_column,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,mouse_backend,multichar_response,opensesame_codename,opensesame_version,response,response_intro_1,response_number_input_1,response_number_input_2,response_time,response_time_intro_1,response_time_number_input_1,response_time_number_input_2,round_decimals,sampler_backend,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,span,start,subject_nr,subject_parity,time_ISI,time_digit_loop_1,time_dot,time_get_input_digits,time_get_input_letters,time_get_input_loop_1,time_get_input_loop_2,time_init_1,time_init_2,time_intro_1,time_letter_loop_1,time_number_input_1,time_number_input_2,time_process_input_1,time_process_input_2,time_response_logger_1,time_response_logger_2,time_set_time_vars,time_stimA_1,time_stimA_2,time_stimB_1,time_stimB_2,time_stimC_1,time_stimC_2,time_stimD_1,time_stimD_2,time_stimE_1,time_stimE_2,time_stimF_1,time_stimF_2,time_stimG_1,time_stimG_2,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
d,y,v,f,3000,x,w,w,w,500,750,0,0,428,428,black,no,legacy,legacy,legacy,0,letters,uniform,,34,0,4,0,,23,,4,,23,,4,0,0,,23,0,,23,,4,,4,0,,4,,4,,4,,4,,4,,4,,4,,4,,4,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,dyvfxenter,osweb,1.3.8,enter,s,,enter,1013,10058,,1013,2,legacy,1599114783590,1024,2,48000,-16,5,experiment,0,even,61611,20,62129,,67455,,54691,,54690,20,20,,67455,,68481,,68482,10082,,54691,,55960,,57245,,58527,,59811,,,,,MemorySpan_1,0,10279,24,yes,1024
i,m,v,t,3000,k,w,w,w,500,750,0,0,413,413,black,no,legacy,legacy,legacy,0,letters,uniform,,41,0,5,0,,29,,5,,29,,5,0,0,,29,0,,29,,5,,5,0,,5,,5,,5,,5,,5,,5,,5,,5,,5,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,imvtkenter,osweb,1.3.8,enter,s,,enter,450,10058,,450,2,legacy,1599114783590,1024,2,48000,-16,5,experiment,0,even,75415,20,75933,,80693,,68496,,68496,20,20,,80693,,81153,,81154,10082,,68496,,69765,,71048,,72332,,73615,,,,,MemorySpan_1,0,12399,30,yes,1024
g,r,y,p,3000,y,r,w,w,500,750,0,0,404,404,black,no,legacy,legacy,legacy,0,letters,uniform,,48,0,6,0,,36,,6,,36,,6,0,0,,36,0,,36,,6,,6,0,,6,,6,,6,,6,,6,,6,,6,,6,,6,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,grypyrenter,osweb,1.3.8,enter,s,,enter,487,10058,,487,2,legacy,1599114783590,1024,2,48000,-16,6,experiment,0,even,88842,20,89359,,94532,,81170,,81169,20,20,,94533,,95024,,95025,10082,,81170,,82437,,83720,,85004,,86286,,87559,,,MemorySpan_1,0,14931,37,yes,1024
i,m,u,u,3000,e,r,w,w,500,750,0,0,389,389,black,no,legacy,legacy,legacy,0,letters,uniform,,55,0,7,0,,43,,7,,43,,7,0,0,,43,0,,43,,7,,7,0,,7,,7,,7,,7,,7,,7,,7,,7,,7,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,imuuerenter,osweb,1.3.8,enter,s,,enter,456,10058,,456,2,legacy,1599114783590,1024,2,48000,-16,6,experiment,0,even,102698,20,103215,,108075,,95040,,95040,20,20,,108075,,108534,,108534,10082,,95040,,96308,,97581,,98864,,100131,,101415,,,MemorySpan_1,0,17130,44,yes,1024
v,e,z,g,3000,s,q,l,w,500,750,0,0,443,443,black,no,legacy,legacy,legacy,0,letters,uniform,,62,0,8,0,,54,,8,,54,,8,0,0,,54,0,,54,,8,,8,0,,8,,8,,8,,8,,8,,8,,8,,8,,8,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,vezsqlenter,osweb,1.3.8,enter,s,,enter,2300,10058,,2300,2,legacy,1599114783590,1024,2,48000,-16,7,experiment,0,even,117002,20,117519,,125581,,108547,,108546,20,20,,125581,,127890,,127890,10082,,108547,,109818,,111103,,112386,,113669,,114952,,116236,MemorySpan_1,0,24345,55,yes,1024
u,p,t,x,3000,i,p,f,w,500,750,0,0,482,482,black,no,legacy,legacy,legacy,0,letters,uniform,,69,0,9,0,,61,,9,,61,,9,0,0,,61,0,,61,,9,,9,0,,9,,9,,9,,9,,9,,9,,9,,9,,9,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,uptxifenter,osweb,1.3.8,enter,s,,enter,770,10058,,770,2,legacy,1599114783590,1024,2,48000,-16,7,experiment,0,even,136344,20,136862,,144740,,127903,,127903,20,20,,144740,,145517,,145517,10082,,127903,,129161,,130445,,131729,,133011,,134295,,135578,MemorySpan_1,0,29861,62,yes,1024
3,9,5,w,3000,w,w,w,w,500,750,0,0,476,476,black,no,legacy,legacy,legacy,0,numbers,uniform,,76,0,10,0,3,61,0,9,3,61,0,9,0,0,3,61,0,3,61,0,9,0,9,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,395enter,osweb,1.3.8,enter,s,enter,enter,345,10058,345,770,2,legacy,1599114783590,1024,2,48000,-16,3,experiment,0,even,150899,20,151405,155678,144740,145533,127903,145532,127903,20,20,155678,144740,156038,145517,156038,145517,10082,145533,127903,146801,129161,148084,130445,,131729,,133011,,134295,,135578,MemorySpan_1,0,31406,66,yes,1024
1,8,3,w,3000,w,w,w,w,500,750,0,0,468,468,black,no,legacy,legacy,legacy,0,numbers,uniform,,83,0,11,0,7,61,1,9,7,61,1,9,0,0,7,61,0,7,61,1,9,1,9,0,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,183enter,osweb,1.3.8,enter,s,enter,enter,472,10058,472,770,2,legacy,1599114783590,1024,2,48000,-16,3,experiment,0,even,161443,20,161961,165915,144740,156057,127903,156056,127903,20,20,165915,144740,166392,145517,166393,145517,10082,156056,127903,157338,129161,158622,130445,,131729,,133011,,134295,,135578,MemorySpan_1,0,32771,70,yes,1024
6,5,5,4,3000,w,w,w,w,500,750,0,0,458,458,black,no,legacy,legacy,legacy,0,numbers,uniform,,90,0,12,0,12,61,2,9,12,61,2,9,0,0,12,61,0,12,61,2,9,2,9,0,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,6554enter,osweb,1.3.8,enter,s,enter,enter,335,10058,335,770,2,legacy,1599114783590,1024,2,48000,-16,4,experiment,0,even,172548,20,173050,177370,144740,166407,127903,166406,127903,20,20,177370,144740,177715,145517,177715,145517,10082,166407,127903,167677,129161,168960,130445,170244,131729,,133011,,134295,,135578,MemorySpan_1,0,34365,75,yes,1024
5,5,5,1,3000,w,w,w,w,500,750,0,0,451,451,black,no,legacy,legacy,legacy,0,numbers,uniform,,97,0,13,0,17,61,3,9,17,61,3,9,0,0,17,61,0,17,61,3,9,3,9,0,3,9,3,9,3,9,3,9,3,9,3,9,3,9,3,9,3,9,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,5551enter,osweb,1.3.8,enter,s,enter,enter,506,10058,506,770,2,legacy,1599114783590,1024,2,48000,-16,4,experiment,0,even,183870,20,184388,188675,144740,177729,127903,177729,127903,20,20,188675,144740,189186,145517,189187,145517,10082,177729,127903,178999,129161,180281,130445,181565,131729,,133011,,134295,,135578,MemorySpan_1,0,36082,80,yes,1024
5,2,4,1,3000,2,w,w,w,500,750,0,0,445,445,black,no,legacy,legacy,legacy,0,numbers,uniform,,104,0,14,0,23,61,4,9,23,61,4,9,0,0,23,61,0,23,61,4,9,4,9,0,4,9,4,9,4,9,4,9,4,9,4,9,4,9,4,9,4,9,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,54212enter,osweb,1.3.8,enter,s,enter,enter,481,10058,481,770,2,legacy,1599114783590,1024,2,48000,-16,5,experiment,0,even,196108,20,196629,201413,144740,189199,127903,189199,127903,20,20,201413,144740,201894,145517,201894,145517,10082,189199,127903,190470,129161,191753,130445,193025,131729,194309,133011,,134295,,135578,MemorySpan_1,0,38272,86,yes,1024
2,9,6,4,3000,6,w,w,w,500,750,0,0,442,442,black,no,legacy,legacy,legacy,0,numbers,uniform,,111,0,15,0,29,61,5,9,29,61,5,9,0,0,29,61,0,29,61,5,9,5,9,0,5,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,29646enter,osweb,1.3.8,enter,s,enter,enter,426,10058,426,770,2,legacy,1599114783590,1024,2,48000,-16,5,experiment,0,even,208812,20,209329,214356,144740,201907,127903,201907,127903,20,20,214356,144740,214782,145517,214783,145517,10082,201907,127903,203179,129161,204446,130445,205728,131729,207011,133011,,134295,,135578,MemorySpan_1,0,40630,92,yes,1024
4,3,3,6,3000,4,5,w,w,500,750,0,0,437,437,black,no,legacy,legacy,legacy,0,numbers,uniform,,118,0,16,0,36,61,6,9,36,61,6,9,0,0,36,61,0,36,61,6,9,6,9,0,6,9,6,9,6,9,6,9,6,9,6,9,6,9,6,9,6,9,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,433645enter,osweb,1.3.8,enter,s,enter,enter,569,10058,569,770,2,legacy,1599114783590,1024,2,48000,-16,6,experiment,0,even,222484,20,223000,228163,144740,214797,127903,214796,127903,20,20,228163,144740,228739,145517,228740,145517,10082,214797,127903,216066,129161,217350,130445,218633,131729,219917,133011,221200,134295,,135578,MemorySpan_1,0,43256,99,yes,1024
3,1,8,4,3000,4,4,w,w,500,750,0,0,430,430,black,no,legacy,legacy,legacy,0,numbers,uniform,,125,0,17,0,43,61,7,9,43,61,7,9,0,0,43,61,0,43,61,7,9,7,9,0,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,318444enter,osweb,1.3.8,enter,s,enter,enter,375,10058,375,770,2,legacy,1599114783590,1024,2,48000,-16,6,experiment,0,even,236427,20,236944,242017,144740,228754,127903,228753,127903,20,20,242017,144740,242393,145517,242393,145517,10082,228754,127903,230023,129161,231307,130445,232590,131729,233860,133011,235143,134295,,135578,MemorySpan_1,0,45600,106,yes,1024
6,3,9,9,3000,6,5,4,w,500,750,0,0,443,443,black,no,legacy,legacy,legacy,0,numbers,uniform,,132,0,18,0,52,61,8,9,52,61,8,9,0,0,52,61,0,52,61,8,9,8,9,0,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,36996543enter,osweb,1.3.8,enter,s,enter,enter,507,10058,507,770,2,legacy,1599114783590,1024,2,48000,-16,7,experiment,0,even,250830,20,251347,259275,144740,242407,127903,242406,127903,20,20,259275,144740,259785,145517,259786,145517,10082,242407,127903,243676,129161,244946,130445,246231,131729,247497,133011,248780,134295,250064,135578,MemorySpan_1,0,50894,115,yes,1024
9,6,1,8,3000,5,3,4,w,500,750,0,0,444,444,black,no,legacy,legacy,legacy,0,numbers,uniform,,139,0,19,0,60,61,9,9,60,61,9,9,0,0,60,61,0,60,61,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Thu Sep 03 2020 08:31:54 GMT+0200 (Central European Summer Time),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,9618543enter,osweb,1.3.8,enter,s,enter,enter,1079,10058,1079,770,2,legacy,1599114783590,1024,2,48000,-16,7,experiment,0,even,268240,20,268757,274478,144740,259800,127903,259800,127903,20,20,274478,144740,275573,145517,275573,145517,10082,259800,127903,261071,129161,262354,130445,263636,131729,264920,133011,266190,134295,267473,135578,MemorySpan_1,0,54551,123,yes,1024
v,j,y,w,3000,w,w,w,w,500,750,0,0,1064,1064,black,no,legacy,legacy,legacy,0,letters,uniform,,6,0,0,0,,3,,0,,3,,0,0,0,,3,0,,3,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,vjyenter,osweb,1.3.8,enter,n,,enter,2197,3107,,2197,2,legacy,1599114737372,1024,2,48000,-16,3,experiment,1,odd,8596,32,9123,,14295,,3209,,3208,31,32,,14295,,16494,,16496,3145,,3209,,4479,,5762,,,,,,,,,MemorySpan_1,0,4254,4,yes,1024
z,v,y,w,3000,w,w,w,w,500,750,0,0,2550,2550,black,no,legacy,legacy,legacy,0,letters,uniform,,13,0,1,0,,7,,1,,7,,1,0,0,,7,0,,7,,1,,1,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,zvyenter,osweb,1.3.8,enter,n,,enter,14384,3107,,14384,2,legacy,1599114737372,1024,2,48000,-16,3,experiment,1,odd,21912,32,22430,,27291,,16514,,16513,31,32,,27291,,41678,,41679,3145,,16514,,17796,,19079,,,,,,,,,MemorySpan_1,0,20399,8,yes,1024
z,x,m,y,3000,w,w,w,w,500,750,0,0,1883,1883,black,no,legacy,legacy,legacy,0,letters,uniform,,20,0,2,0,,12,,2,,12,,2,0,0,,12,0,,12,,2,,2,0,,2,,2,,2,,2,,2,,2,,2,,2,,2,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,zxmyenter,osweb,1.3.8,enter,n,,enter,836,3107,,836,2,legacy,1599114737372,1024,2,48000,-16,4,experiment,1,odd,47862,32,48380,,54724,,41695,,41695,31,32,,54724,,55562,,55563,3145,,41695,,42979,,44262,,45546,,,,,,,MemorySpan_1,0,24478,13,yes,1024
t,q,t,f,3000,w,w,w,w,500,750,0,0,1505,1505,black,no,legacy,legacy,legacy,0,letters,uniform,,27,0,3,0,,19,,3,,19,,3,0,0,,19,0,,19,,3,,3,0,,3,,3,,3,,3,,3,,3,,3,,3,,3,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,tqtfenter,osweb,1.3.8,enter,n,,enter,2149,3107,,2149,2,legacy,1599114737372,1024,2,48000,-16,4,experiment,1,odd,61745,32,62264,,68908,,55580,,55579,31,32,,68908,,71061,,71061,3145,,55580,,56862,,58145,,59428,,,,,,,MemorySpan_1,0,30105,20,yes,1024
d,y,v,f,3000,x,w,w,w,500,750,0,0,1305,1305,black,no,legacy,legacy,legacy,0,letters,uniform,,34,0,4,0,,25,,4,,25,,4,0,0,,25,0,,25,,4,,4,0,,4,,4,,4,,4,,4,,4,,4,,4,,4,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,dyvfxenter,osweb,1.3.8,enter,n,,enter,1106,3107,,1106,2,legacy,1599114737372,1024,2,48000,-16,5,experiment,1,odd,77979,32,78497,,84376,,71076,,71075,31,32,,84376,,85494,,85495,3145,,71076,,72345,,73629,,74912,,76196,,,,,MemorySpan_1,0,33938,26,yes,1024
i,m,v,t,3000,k,w,w,w,500,750,0,0,1188,1188,black,no,legacy,legacy,legacy,0,letters,uniform,,41,0,5,0,,31,,5,,31,,5,0,0,,31,0,,31,,5,,5,0,,5,,5,,5,,5,,5,,5,,5,,5,,5,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,imvtkenter,osweb,1.3.8,enter,n,,enter,1369,3107,,1369,2,legacy,1599114737372,1024,2,48000,-16,5,experiment,1,odd,92445,32,92963,,98799,,85511,,85510,31,32,,98799,,100177,,100178,3145,,85511,,86795,,88079,,89362,,90646,,,,,MemorySpan_1,0,38001,32,yes,1024
g,r,y,p,3000,y,r,w,w,500,750,0,0,1077,1077,black,no,legacy,legacy,legacy,0,letters,uniform,,48,0,6,0,,38,,6,,38,,6,0,0,,38,0,,38,,6,,6,0,,6,,6,,6,,6,,6,,6,,6,,6,,6,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,grypyrenter,osweb,1.3.8,enter,n,,enter,1963,3107,,1963,2,legacy,1599114737372,1024,2,48000,-16,6,experiment,1,odd,107895,32,108416,,113599,,100194,,100194,31,32,,113599,,115577,,115578,3145,,100194,,101481,,102762,,104045,,105329,,106612,,,MemorySpan_1,0,41997,39,yes,1024
i,m,u,u,3000,e,r,w,w,500,750,0,0,996,996,black,no,legacy,legacy,legacy,0,letters,uniform,,55,0,7,0,,45,,7,,45,,7,0,0,,45,0,,45,,7,,7,0,,7,,7,,7,,7,,7,,7,,7,,7,,7,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,imuuerenter,osweb,1.3.8,enter,n,,enter,1235,3107,,1235,2,legacy,1599114737372,1024,2,48000,-16,6,experiment,1,odd,123295,32,123813,,129558,,115596,,115595,31,32,,129558,,130794,,130794,3145,,115596,,116879,,118162,,119446,,120731,,122011,,,MemorySpan_1,0,45796,46,yes,1024
v,e,z,g,3000,s,q,l,w,500,750,0,0,941,941,black,no,legacy,legacy,legacy,0,letters,uniform,,62,0,8,0,,53,,8,,53,,8,0,0,,53,0,,53,,8,,8,0,,8,,8,,8,,8,,8,,8,,8,,8,,8,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,vesglqrenter,osweb,1.3.8,enter,n,,enter,1445,3107,,1445,2,legacy,1599114737372,1024,2,48000,-16,7,experiment,1,odd,139262,32,139780,,146524,,130810,,130809,31,32,,146524,,147978,,147980,3145,,130810,,132079,,133362,,134645,,135929,,137212,,138495,MemorySpan_1,0,50831,54,yes,1024
u,p,t,x,3000,i,p,f,w,500,750,0,0,918,918,black,no,legacy,legacy,legacy,0,letters,uniform,,69,0,9,0,,61,,9,,61,,9,0,0,,61,0,,61,,9,,9,0,,9,,9,,9,,9,,9,,9,,9,,9,,9,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,uptxipfenter,osweb,1.3.8,enter,n,,enter,1326,3107,,1326,2,legacy,1599114737372,1024,2,48000,-16,7,experiment,1,odd,156461,32,156980,,164957,,148000,,147999,31,32,,164957,,166294,,166295,3145,,148000,,149278,,150562,,151845,,153129,,154412,,155695,MemorySpan_1,0,56936,62,yes,1024
3,9,5,w,3000,w,w,w,w,500,750,0,0,923,923,black,no,legacy,legacy,legacy,0,numbers,uniform,,76,0,10,0,3,61,0,9,3,61,0,9,0,0,3,61,0,3,61,0,9,0,9,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,395enter,osweb,1.3.8,enter,n,enter,enter,1372,3107,1372,1326,2,legacy,1599114737372,1024,2,48000,-16,3,experiment,1,odd,171712,32,172230,177927,164957,166312,148000,166311,147999,31,32,177928,164957,179311,166294,179311,166295,3145,166312,148000,167595,149278,168879,150562,,151845,,153129,,154412,,155695,MemorySpan_1,0,60907,66,yes,1024
1,8,3,w,3000,w,w,w,w,500,750,0,0,918,918,black,no,legacy,legacy,legacy,0,numbers,uniform,,83,0,11,0,7,61,1,9,7,61,1,9,0,0,7,61,0,7,61,1,9,1,9,0,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,183enter,osweb,1.3.8,enter,n,enter,enter,1126,3107,1126,1326,2,legacy,1599114737372,1024,2,48000,-16,3,experiment,1,odd,184745,32,185263,190557,164957,179344,148000,179342,147999,31,32,190557,164957,191694,166294,191695,166295,3145,179344,148000,180629,149278,181912,150562,,151845,,153129,,154412,,155695,MemorySpan_1,0,64240,70,yes,1024
6,5,5,4,3000,w,w,w,w,500,750,0,0,901,901,black,no,legacy,legacy,legacy,0,numbers,uniform,,90,0,12,0,12,61,2,9,12,61,2,9,0,0,12,61,0,12,61,2,9,2,9,0,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,6554enter,osweb,1.3.8,enter,n,enter,enter,1015,3107,1015,1326,2,legacy,1599114737372,1024,2,48000,-16,4,experiment,1,odd,197862,32,198382,203790,164957,191710,148000,191709,147999,31,32,203790,164957,204811,166294,204811,166295,3145,191710,148000,192979,149278,194262,150562,195546,151845,,153129,,154412,,155695,MemorySpan_1,0,67548,75,yes,1024
5,5,5,1,3000,w,w,w,w,500,750,0,0,884,884,black,no,legacy,legacy,legacy,0,numbers,uniform,,97,0,13,0,17,61,3,9,17,61,3,9,0,0,17,61,0,17,61,3,9,3,9,0,3,9,3,9,3,9,3,9,3,9,3,9,3,9,3,9,3,9,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,5551enter,osweb,1.3.8,enter,n,enter,enter,694,3107,694,1326,2,legacy,1599114737372,1024,2,48000,-16,4,experiment,1,odd,210978,32,211496,217073,164957,204825,148000,204825,147999,31,32,217073,164957,217777,166294,217778,166295,3145,204825,148000,206095,149278,207378,150562,208662,151845,,153129,,154412,,155695,MemorySpan_1,0,70699,80,yes,1024
5,2,4,1,3000,2,w,w,w,500,750,0,0,861,861,black,no,legacy,legacy,legacy,0,numbers,uniform,,104,0,14,0,23,61,4,9,23,61,4,9,0,0,23,61,0,23,61,4,9,4,9,0,4,9,4,9,4,9,4,9,4,9,4,9,4,9,4,9,4,9,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,52412enter,osweb,1.3.8,enter,n,enter,enter,1187,3107,1187,1326,2,legacy,1599114737372,1024,2,48000,-16,5,experiment,1,odd,224712,32,225235,230523,164957,217792,148000,217792,147999,31,32,230524,164957,231711,166294,231711,166295,3145,217792,148000,219065,149278,220345,150562,221629,151845,222912,153129,,154412,,155695,MemorySpan_1,0,74024,86,yes,1024
2,9,6,4,3000,6,w,w,w,500,750,0,0,845,845,black,no,legacy,legacy,legacy,0,numbers,uniform,,111,0,15,0,29,61,5,9,29,61,5,9,0,0,29,61,0,29,61,5,9,5,9,0,5,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,Thu Sep 03 2020 08:31:33 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,29646enter,osweb,1.3.8,enter,n,enter,enter,1680,3107,1680,1326,2,legacy,1599114737372,1024,2,48000,-16,5,experiment,1,odd,238646,32,239162,244358,164957,231725,148000,231725,147999,31,32,244358,164957,246044,166294,246045,166295,3145,231725,148000,232995,149278,234279,150562,235562,151845,236845,153129,,154412,,155695,MemorySpan_1,0,77741,92,yes,1024
