A,B,C,D,DotDur,E,F,G,H,ISIdur,NumDur,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,count_ISI,count_digit_loop_1,count_dot,count_experiment,count_get_input_digits,count_get_input_letters,count_get_input_loop_1,count_get_input_loop_2,count_get_input_sequence_1,count_get_input_sequence_2,count_init_1,count_init_2,count_intro_1,count_letter_loop_1,count_number_input_1,count_number_input_2,count_osweb,count_process_input_1,count_process_input_2,count_report_1,count_report_2,count_response_logger_1,count_response_logger_2,count_set_time_vars,count_stimA_1,count_stimA_2,count_stimB_1,count_stimB_2,count_stimC_1,count_stimC_2,count_stimD_1,count_stimD_2,count_stimE_1,count_stimE_2,count_stimF_1,count_stimF_2,count_stimG_1,count_stimG_2,count_stimH_1,count_stimH_2,count_trial_sequence_1,count_trial_sequence_2,datetime,description,disable_garbage_collection,empty_column,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,mouse_backend,multichar_response,opensesame_codename,opensesame_version,response,response_intro_1,response_number_input_1,response_number_input_2,response_time,response_time_intro_1,response_time_number_input_1,response_time_number_input_2,round_decimals,sampler_backend,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,span,start,subject_nr,subject_parity,time_ISI,time_digit_loop_1,time_dot,time_get_input_digits,time_get_input_letters,time_get_input_loop_1,time_get_input_loop_2,time_init_1,time_init_2,time_intro_1,time_letter_loop_1,time_number_input_1,time_number_input_2,time_process_input_1,time_process_input_2,time_response_logger_1,time_response_logger_2,time_set_time_vars,time_stimA_1,time_stimA_2,time_stimB_1,time_stimB_2,time_stimC_1,time_stimC_2,time_stimD_1,time_stimD_2,time_stimE_1,time_stimE_2,time_stimF_1,time_stimF_2,time_stimG_1,time_stimG_2,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
3,9,5,w,3000,w,w,w,w,500,750,0,0,563,563,black,no,legacy,legacy,legacy,0,numbers,uniform,,76,0,10,0,3,58,0,9,3,58,0,9,0,0,3,58,0,3,58,0,9,0,9,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,395enter,osweb,1.3.8,enter,space,enter,enter,539,8496,539,1346,2,legacy,1599121707719,1024,2,48000,-16,3,experiment,0,even,222884,69609,223405,227368,216112,217490,201174,217490,201173,69609,69609,227368,216112,227912,217472,227913,217472,78110,217490,201174,218771,202452,220054,203734,,205016,,206298,,207580,,208863,MemorySpan_1,0,35484,63,yes,1024
1,8,3,w,3000,w,w,w,w,500,750,0,0,526,526,black,no,legacy,legacy,legacy,0,numbers,uniform,,83,0,11,0,20,58,1,9,20,58,1,9,0,0,20,58,0,20,58,1,9,1,9,0,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,1,9,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,183enter,osweb,1.3.8,enter,space,enter,enter,1117,8496,1117,1346,2,legacy,1599121707719,1024,2,48000,-16,3,experiment,0,even,233325,69609,233828,242456,216112,227932,201174,227931,201173,69609,69609,242456,216112,243585,217472,243585,217472,78110,227932,201174,229211,202452,230494,203734,,205016,,206298,,207580,,208863,MemorySpan_1,0,42044,80,yes,1024
6,5,5,4,3000,w,w,w,w,500,750,0,0,516,516,black,no,legacy,legacy,legacy,0,numbers,uniform,,90,0,12,0,25,58,2,9,25,58,2,9,0,0,25,58,0,25,58,2,9,2,9,0,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,2,9,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,6554enter,osweb,1.3.8,enter,space,enter,enter,669,8496,669,1346,2,legacy,1599121707719,1024,2,48000,-16,4,experiment,0,even,249764,69609,250278,254478,216112,243604,201174,243603,201173,69609,69609,254478,216112,255156,217472,255156,217472,78110,243604,201174,244882,202452,246164,203734,247447,205016,,206298,,207580,,208863,MemorySpan_1,0,43840,85,yes,1024
5,5,5,1,3000,w,w,w,w,500,750,0,0,504,504,black,no,legacy,legacy,legacy,0,numbers,uniform,,97,0,13,0,30,58,3,9,30,58,3,9,0,0,30,58,0,30,58,3,9,3,9,0,3,9,3,9,3,9,3,9,3,9,3,9,3,9,3,9,3,9,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,5551enter,osweb,1.3.8,enter,space,enter,enter,407,8496,407,1346,2,legacy,1599121707719,1024,2,48000,-16,4,experiment,0,even,261334,69609,261851,266034,216112,255174,201174,255173,201173,69609,69609,266034,216112,266449,217472,266450,217472,78110,255174,201174,256455,202452,257737,203734,259019,205016,,206298,,207580,,208863,MemorySpan_1,0,45351,90,yes,1024
5,2,4,1,3000,2,w,w,w,500,750,0,0,498,498,black,no,legacy,legacy,legacy,0,numbers,uniform,,104,0,14,0,36,58,4,9,36,58,4,9,0,0,36,58,0,36,58,4,9,4,9,0,4,9,4,9,4,9,4,9,4,9,4,9,4,9,4,9,4,9,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,52412enter,osweb,1.3.8,enter,space,enter,enter,368,8496,368,1346,2,legacy,1599121707719,1024,2,48000,-16,5,experiment,0,even,273373,69609,273892,279089,216112,266469,201174,266469,201173,69609,69609,279089,216112,279467,217472,279468,217472,78110,266469,201174,267745,202452,269027,203734,270309,205016,271577,206298,,207580,,208863,MemorySpan_1,0,47821,96,yes,1024
2,9,6,4,3000,6,w,w,w,500,750,0,0,495,495,black,no,legacy,legacy,legacy,0,numbers,uniform,,111,0,15,0,42,58,5,9,42,58,5,9,0,0,42,58,0,42,58,5,9,5,9,0,5,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,29646enter,osweb,1.3.8,enter,space,enter,enter,607,8496,607,1346,2,legacy,1599121707719,1024,2,48000,-16,5,experiment,0,even,286395,69609,286915,291995,216112,279486,201174,279485,201173,69609,69609,291995,216112,292609,217472,292610,217472,78110,279486,201174,280752,202452,282032,203734,283314,205016,284597,206298,,207580,,208863,MemorySpan_1,0,50443,102,yes,1024
4,3,3,6,3000,4,5,w,w,500,750,0,0,485,485,black,no,legacy,legacy,legacy,0,numbers,uniform,,118,0,16,0,49,58,6,9,49,58,6,9,0,0,49,58,0,49,58,6,9,6,9,0,6,9,6,9,6,9,6,9,6,9,6,9,6,9,6,9,6,9,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,433646enter,osweb,1.3.8,enter,space,enter,enter,646,8496,646,1346,2,legacy,1599121707719,1024,2,48000,-16,6,experiment,0,even,300301,69609,300817,305653,216112,292627,201174,292627,201173,69609,69609,305653,216112,306311,217472,306311,217472,78110,292627,201174,293906,202452,295187,203734,296458,205016,297739,206298,299021,207580,,208863,MemorySpan_1,0,52834,109,yes,1024
3,1,8,4,3000,4,4,w,w,500,750,0,0,477,477,black,no,legacy,legacy,legacy,0,numbers,uniform,,125,0,17,0,56,58,7,9,56,58,7,9,0,0,56,58,0,56,58,7,9,7,9,0,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,318444enter,osweb,1.3.8,enter,space,enter,enter,548,8496,548,1346,2,legacy,1599121707719,1024,2,48000,-16,6,experiment,0,even,313988,69609,314509,319543,216112,306329,201174,306329,201173,69609,69609,319543,216112,320099,217472,320100,217472,78110,306329,201174,307596,202452,308863,203734,310142,205016,311423,206298,312707,207580,,208863,MemorySpan_1,0,55325,116,yes,1024
6,3,9,9,3000,6,5,4,w,500,750,0,0,540,540,black,no,legacy,legacy,legacy,0,numbers,uniform,,132,0,18,0,64,58,8,9,64,58,8,9,0,0,64,58,0,64,58,8,9,8,9,0,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,6399654enter,osweb,1.3.8,enter,space,enter,enter,5801,8496,5801,1346,2,legacy,1599121707719,1024,2,48000,-16,7,experiment,0,even,328558,69609,329076,338004,216112,320120,201174,320120,201173,69609,69609,338004,216112,343812,217472,343813,217472,78110,320120,201174,321385,202452,322667,203734,323946,205016,325228,206298,326510,207580,327796,208863,MemorySpan_1,0,66937,124,yes,1024
9,6,1,8,3000,5,3,4,w,500,750,0,0,531,531,black,no,legacy,legacy,legacy,0,numbers,uniform,,139,0,19,0,73,58,9,9,73,58,9,9,0,0,73,58,0,73,58,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Thu Sep 03 2020 10:27:21 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,,/Users/ethan/Documents/GitHub/OpenSesame/MemorySpan,no,mono,no,18,no,white,no,no,768,legacy,legacy,961534enter,osweb,1.3.8,enter,space,enter,enter,295,8496,295,1346,2,legacy,1599121707719,1024,2,48000,-16,7,experiment,0,even,352238,69609,352755,359252,216112,343829,201174,343828,201173,69609,69609,359252,216112,359552,217472,359552,217472,78110,343829,201174,345111,202452,346394,203734,347659,205016,348927,206298,350207,207580,351472,208863,MemorySpan_1,0,70606,133,yes,1024
