"A","B","C","D","E","F","G","H","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","compensation","coordinates","correct","correct_number_input","count_digit_loop","count_experiment","count_get_input_loop","count_get_input_sequence","count_init","count_letter_loop","count_new_logger_1","count_number_input","count_process_input","count_report","count_show_input","count_stimA","count_stimB","count_stimC","count_stimD","count_stimE","count_stimF","count_stimG","count_stimH","count_trial_sequence","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_digit_loop","live_row_get_input_loop","logfile","multichar_response","opensesame_codename","opensesame_version","repeat_cycle","response","response_number_input","response_time","response_time_number_input","round_decimals","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_digit_loop","time_experiment","time_get_input_loop","time_get_input_sequence","time_init","time_letter_loop","time_new_logger_1","time_number_input","time_process_input","time_report","time_show_input","time_stimA","time_stimB","time_stimC","time_stimD","time_stimE","time_stimF","time_stimG","time_stimH","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"v","e","z","g","s","q","l","$","undefined","undefined","322.5753050178478","322.5753050178478","black","psycho","0","uniform","undefined","undefined","0","0","10","55","10","0","10","55","55","10","55","10","10","10","10","10","10","10","10","10","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","6","9","6","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","dfgdrreturn","Lentiform Loewenfeld","3.3.3","0","return","return","362.41861500002415","362.41861500002415","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","45667.04383700005","47003.760902999944","43109.58823099997","43064.88680500002","47459.51088699997","47017.08566499997","47381.231587999995","45666.92095500002","47015.972351999946","43116.29761500001","43482.040505999976","43850.71777899998","44215.41185199999","44582.04024600002","44949.863514999946","45315.28154900002","NA","43108.72981700004","New experiment","0","18064.21708099948","56","yes","1024"
"z","v","y","$","$","$","$","$","undefined","undefined","313.63086872130367","313.63086872130367","black","psycho","0","uniform","undefined","undefined","0","0","11","60","11","0","11","60","60","11","60","11","11","11","11","11","11","11","11","11","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","5","9","5","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","dfgdreturn","Lentiform Loewenfeld","3.3.3","0","return","return","450.55856299995503","450.55856299995503","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","48650.17279899996","49572.08498800003","47548.51146600004","43064.88680500002","50108.12022300001","49582.81054600002","50035.08799600002","48650.05824599996","49581.64688199997","47565.12579000003","47933.14572600002","48298.64942400002","44215.41185199999","44582.04024600002","44949.863514999946","45315.28154900002","NA","47548.32344500005","New experiment","0","19131.482991999525","61","yes","1024"
"v","j","y","$","$","$","$","$","undefined","undefined","313.9706440624917","313.9706440624917","black","psycho","0","uniform","undefined","undefined","0","0","12","63","12","0","12","63","63","12","63","12","12","12","12","12","12","12","12","12","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","3","9","3","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","dfreturn","Lentiform Loewenfeld","3.3.3","0","return","return","436.4538079998965","436.4538079998965","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","51301.64892699997","52003.29225600001","50197.24617099996","43064.88680500002","52539.76697899998","52016.93543500005","52455.45818400001","51301.535270000044","52016.312728000004","50216.48957000002","50581.95246499997","50949.78797900001","44215.41185199999","44582.04024600002","44949.863514999946","45315.28154900002","NA","50197.042743999984","New experiment","0","20094.12121999947","64","yes","1024"
"d","y","v","f","x","$","$","$","undefined","undefined","296.2731301805471","296.2731301805471","black","psycho","0","uniform","undefined","undefined","0","0","13","71","13","0","13","71","71","13","71","13","13","13","13","13","13","13","13","13","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","8","9","8","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","gdgdfdfreturn","Lentiform Loewenfeld","3.3.3","0","return","return","223.60153199997876","223.60153199997876","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","54451.56092800005","56046.44177800003","52626.10181499997","43064.88680500002","56383.62661999997","56065.49443599999","56290.63427200003","54451.43905999998","56064.784850000025","52631.854962000034","52999.749421000044","53365.20169300002","53731.854325999964","54099.74092000005","44949.863514999946","45315.28154900002","NA","52625.33450599994","New experiment","0","21331.665372999392","72","yes","1024"
"t","q","t","f","$","$","$","$","undefined","undefined","292.6254256623298","292.6254256623298","black","psycho","0","uniform","undefined","undefined","0","0","14","76","14","0","14","76","76","14","76","14","14","14","14","14","14","14","14","14","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","5","9","5","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","dfgdreturn","Lentiform Loewenfeld","3.3.3","0","return","return","82.20861100006005","82.20861100006005","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","57966.60435499996","59429.84620799996","56500.42833099997","43064.88680500002","59625.30531899995","59449.95206999999","59533.91073199998","57966.48981700002","59448.194638000015","56515.119605999986","56883.34923499997","57249.63871199998","57615.08899399996","54099.74092000005","44949.863514999946","45315.28154900002","NA","56499.75235600004","New experiment","0","22532.157775999396","77","yes","1024"
"g","r","y","p","y","r","$","$","undefined","undefined","283.92179596384744","283.92179596384744","black","psycho","0","uniform","undefined","undefined","0","0","15","82","15","0","15","82","82","15","82","15","15","15","15","15","15","15","15","15","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","6","9","6","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","dgdgdreturn","Lentiform Loewenfeld","3.3.3","0","return","return","198.03154199996789","198.03154199996789","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","61949.86031099995","63233.05195","59749.79500300003","43064.88680500002","63538.39091400005","63248.74403800004","63448.51842699995","61949.74769999999","63248.32078500003","59764.90017399999","60133.01870299995","60498.321157999955","60864.976354999955","61233.340146000046","61598.30159","45315.28154900002","NA","59748.99206400005","New experiment","0","23565.509064999336","83","yes","1024"
"u","p","t","x","i","p","f","$","undefined","undefined","277.29860849999324","277.29860849999324","black","psycho","0","uniform","undefined","undefined","0","0","16","89","16","0","16","89","89","16","89","16","16","16","16","16","16","16","16","16","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","7","9","7","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","dfgeerreturn","Lentiform Loewenfeld","3.3.3","0","return","return","487.6002419999859","487.6002419999859","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","66221.52139399998","67591.67931599995","63659.24521199997","43064.88680500002","68162.52368300002","67600.28203299998","68089.60267999998","66221.40843700003","67600.00341700004","63664.58949299999","64031.81689300004","64398.288892999975","64765.054059000024","65132.850678999945","65498.18598299999","65864.990488","NA","63658.421234","New experiment","0","24956.87476499939","90","yes","1024"
"z","x","m","y","$","$","$","$","undefined","undefined","268.13899258762353","268.13899258762353","black","psycho","0","uniform","undefined","undefined","0","0","17","96","17","0","17","96","96","17","96","17","17","17","17","17","17","17","17","17","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","7","9","7","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","dfdfgdreturn","Lentiform Loewenfeld","3.3.3","0","return","return","261.6037340000039","261.6037340000039","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","69717.82518199996","70945.92279699998","68249.96420800005","43064.88680500002","71309.04704600005","70967.08134300001","71230.21638199998","69717.70834400001","70964.66565799994","68266.01343499999","68631.57313800002","68998.19642099999","69366.11419500002","65132.850678999945","65498.18598299999","65864.990488","NA","68249.26587899996","New experiment","0","26009.48228099948","97","yes","1024"
"i","m","u","u","e","r","$","$","undefined","undefined","267.47215645081536","267.47215645081536","black","psycho","0","uniform","undefined","undefined","0","0","18","121","18","0","18","121","121","18","121","18","18","18","18","18","18","18","18","18","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","25","9","25","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","dffreturn","Lentiform Loewenfeld","3.3.3","0","return","return","744.2032080000499","744.2032080000499","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","73600.99428599994","81431.69156099999","71396.65698399994","43064.88680500002","82292.032608","81449.97536400001","82195.95841800004","73600.87776","81449.177974","71416.55519699998","71781.47874399996","72150.12055199998","72514.80280199996","72881.33095399996","73249.29860999998","65864.990488","NA","71395.96260300005","New experiment","0","32631.603086999472","122","yes","1024"
"i","m","v","t","k","$","$","$","undefined","undefined","266.2139208333295","266.2139208333295","black","psycho","0","uniform","undefined","undefined","0","0","19","125","19","0","19","125","125","19","125","19","19","19","19","19","19","19","19","19","Fri Aug 21 23:26:20 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","no","768","4","9","4","/Users/ethan/Documents/GitHub/OpenSesame/quickrun.csv","fgfreturn","Lentiform Loewenfeld","3.3.3","0","return","return","324.9335329999303","324.9335329999303","2","1024","2","48000","-16","experiment","999","odd","2238.5351619999483","2236.4010950000193","84231.96916300003","85090.50187499997","82406.78297900001","43064.88680500002","85531.73165999999","85115.45422300002","85442.23096400003","84231.852247","85114.653106","82416.25362399998","82780.72574199995","83147.400554","83515.81706800005","83881.20408600003","73249.29860999998","65864.990488","NA","82406.12310999996","New experiment","0","33542.95402499952","126","yes","1024"
