"A","B","C","D","E","F","G","H","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_number_input","correct_number_input_1","correct_number_input_2","count_digit_loop","count_digit_loop_1","count_experiment","count_get_input_loop","count_get_input_loop_1","count_get_input_loop_2","count_get_input_sequence","count_get_input_sequence_1","count_get_input_sequence_2","count_init","count_init_1","count_init_2","count_letter_loop","count_letter_loop_1","count_number_input","count_number_input_1","count_number_input_2","count_process_input","count_process_input_1","count_process_input_2","count_report","count_report_1","count_report_2","count_response_logger","count_response_logger_1","count_response_logger_2","count_show_input","count_show_input_1","count_show_input_2","count_stimA","count_stimA_1","count_stimA_2","count_stimB","count_stimB_1","count_stimB_2","count_stimC","count_stimC_1","count_stimC_2","count_stimD","count_stimD_1","count_stimD_2","count_stimE","count_stimE_1","count_stimE_2","count_stimF","count_stimF_1","count_stimF_2","count_stimG","count_stimG_1","count_stimG_2","count_stimH","count_stimH_1","count_stimH_2","count_trial_sequence","count_trial_sequence_1","count_trial_sequence_2","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_get_input_loop_2","live_row_letter_loop_1","logfile","mouse_backend","multichar_response","opensesame_codename","opensesame_version","repeat_cycle","response","response_number_input","response_number_input_1","response_number_input_2","response_time","response_time_number_input","response_time_number_input_1","response_time_number_input_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","span","start","subject_nr","subject_parity","time_digit_loop","time_digit_loop_1","time_experiment","time_get_input_loop","time_get_input_loop_1","time_get_input_loop_2","time_get_input_sequence","time_get_input_sequence_1","time_get_input_sequence_2","time_init","time_init_1","time_init_2","time_letter_loop","time_letter_loop_1","time_number_input","time_number_input_1","time_number_input_2","time_process_input","time_process_input_1","time_process_input_2","time_report","time_report_1","time_report_2","time_response_logger","time_response_logger_1","time_response_logger_2","time_show_input","time_show_input_1","time_show_input_2","time_stimA","time_stimA_1","time_stimA_2","time_stimB","time_stimB_1","time_stimB_2","time_stimC","time_stimC_1","time_stimC_2","time_stimD","time_stimD_1","time_stimD_2","time_stimE","time_stimE_1","time_stimE_2","time_stimF","time_stimF_1","time_stimF_2","time_stimG","time_stimG_1","time_stimG_2","time_stimH","time_stimH_1","time_stimH_2","time_trial_sequence","time_trial_sequence_1","time_trial_sequence_2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"6","3","9","9","6","5","4","$","undefined","undefined","379.38863422809163","379.38863422809163","black","psycho","psycho","psycho","0","uniform","undefined","NA","undefined","undefined","NA","0","0","NA","0","9","NA","3","52","NA","0","9","NA","0","NA","3","52","NA","3","52","NA","0","9","NA","0","9","NA","3","52","NA","0","9","NA","0","9","NA","0","9","NA","0","9","NA","0","9","NA","0","9","NA","0","9","NA","0","9","NA","0","9","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","4","4","9","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","232return","Lentiform Loewenfeld","3.3.3","0","return","NA","return","return","288.03778499991313","NA","288.03778499991313","556.5139539999145","2","psycho","1024","2","48000","-16","6","experiment","1","odd","NA","46963.17085199985","1847.1708409999792","NA","49597.289102999865","45280.71681099982","NA","51204.54734600003","46217.52631000004","NA","47024.93123299996","43082.100307000015","NA","1847.380868999835","NA","51230.135496999996","46246.82431099995","NA","51519.74882099989","46804.92093199996","NA","49597.1718159999","45280.58519299998","NA","51612.725168","46897.92510699999","NA","51229.01841899988","46245.53177300004","NA","47045.78853099997","43095.61653499986","NA","47412.40991199993","43462.57967699989","NA","47779.17262400001","43829.21596899996","NA","48145.717933000014","44195.56253199994","NA","48512.42114699994","44562.45594799998","NA","48878.987112","44929.15620799999","NA","49245.721316999836","28429.295918999967","NA","NA","NA","NA","47024.259210999844","43081.43434599992","MemorySpan_1","0","21625.152151001224","57","yes","1024"
"5","5","5","1","$","$","$","$","undefined","undefined","365.8101043226065","365.8101043226065","black","psycho","psycho","psycho","0","uniform","undefined","NA","undefined","undefined","NA","0","0","NA","1","9","NA","8","52","NA","1","9","NA","0","NA","8","52","NA","8","52","NA","1","9","NA","1","9","NA","8","52","NA","1","9","NA","1","9","NA","1","9","NA","1","9","NA","1","9","NA","1","9","NA","1","9","NA","1","9","NA","1","9","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","5","4","9","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","3453return","Lentiform Loewenfeld","3.3.3","0","return","NA","return","return","185.0682730000699","NA","185.0682730000699","556.5139539999145","2","psycho","1024","2","48000","-16","6","experiment","1","odd","NA","46963.17085199985","1847.1708409999792","NA","53213.747869999905","45280.71681099982","NA","54479.572651999886","46217.52631000004","NA","51741.13443299984","43082.100307000015","NA","1847.380868999835","NA","54495.862939999824","46246.82431099995","NA","54682.57397299999","46804.92093199996","NA","53213.62862899991","45280.58519299998","NA","54777.27736899987","46897.92510699999","NA","54495.350914000024","46245.53177300004","NA","51763.010948999865","43095.61653499986","NA","52129.03904899985","43462.57967699989","NA","52495.464375999974","43829.21596899996","NA","52862.33165399994","44195.56253199994","NA","48512.42114699994","44562.45594799998","NA","48878.987112","44929.15620799999","NA","49245.721316999836","28429.295918999967","NA","NA","NA","NA","51740.448539","43081.43434599992","MemorySpan_1","0","22680.2264680016","62","yes","1024"
"9","6","1","8","5","3","4","$","undefined","undefined","348.5041514477859","348.5041514477859","black","psycho","psycho","psycho","0","uniform","undefined","NA","undefined","undefined","NA","0","0","NA","2","9","NA","13","52","NA","2","9","NA","0","NA","13","52","NA","13","52","NA","2","9","NA","2","9","NA","13","52","NA","2","9","NA","2","9","NA","2","9","NA","2","9","NA","2","9","NA","2","9","NA","2","9","NA","2","9","NA","2","9","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","5","4","9","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","3453return","Lentiform Loewenfeld","3.3.3","0","return","NA","return","return","172.0480149999712","NA","172.0480149999712","556.5139539999145","2","psycho","1024","2","48000","-16","6","experiment","1","odd","NA","46963.17085199985","1847.1708409999792","NA","57463.848680999945","45280.71681099982","NA","58343.968906999864","46217.52631000004","NA","54898.766268999905","43082.100307000015","NA","1847.380868999835","NA","58362.766361000016","46246.82431099995","NA","58536.41243399988","46804.92093199996","NA","57463.72736599983","45280.58519299998","NA","58628.52919499983","46897.92510699999","NA","58361.86504599982","46245.53177300004","NA","54912.016022999975","43095.61653499986","NA","55279.02982199998","43462.57967699989","NA","55645.38430499988","43829.21596899996","NA","56012.319287999846","44195.56253199994","NA","56378.894224999836","44562.45594799998","NA","56745.319581999865","44929.15620799999","NA","57112.33297800004","28429.295918999967","NA","NA","NA","NA","54897.95714899992","43081.43434599992","MemorySpan_1","0","23349.778147001656","67","yes","1024"
"4","3","3","6","4","5","$","$","undefined","undefined","339.774969549318","339.774969549318","black","psycho","psycho","psycho","0","uniform","undefined","NA","undefined","undefined","NA","0","0","NA","3","9","NA","17","52","NA","3","9","NA","0","NA","17","52","NA","17","52","NA","3","9","NA","3","9","NA","17","52","NA","3","9","NA","3","9","NA","3","9","NA","3","9","NA","3","9","NA","3","9","NA","3","9","NA","3","9","NA","3","9","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","4","4","9","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","343return","Lentiform Loewenfeld","3.3.3","0","return","NA","return","return","111.03978200003621","NA","111.03978200003621","556.5139539999145","2","psycho","1024","2","48000","-16","6","experiment","1","odd","NA","46963.17085199985","1847.1708409999792","NA","60946.91399699991","45280.71681099982","NA","61909.42048599981","46217.52631000004","NA","58745.880566999855","43082.100307000015","NA","1847.380868999835","NA","61930.51718599986","46246.82431099995","NA","62043.28803399994","46804.92093199996","NA","60946.796432999916","45280.58519299998","NA","62137.45147099985","46897.92510699999","NA","61929.546354999955","46245.53177300004","NA","58762.094539999904","43095.61653499986","NA","59128.89684899983","43462.57967699989","NA","59495.436781999844","43829.21596899996","NA","59862.36927300001","44195.56253199994","NA","60229.05019199993","44562.45594799998","NA","60595.45570899991","44929.15620799999","NA","57112.33297800004","28429.295918999967","NA","NA","NA","NA","58745.04148799997","43081.43434599992","MemorySpan_1","0","24124.022838001576","71","yes","1024"
"3","9","5","$","$","$","$","$","undefined","undefined","332.99697562668683","332.99697562668683","black","psycho","psycho","psycho","0","uniform","undefined","NA","undefined","undefined","NA","0","0","NA","4","9","NA","21","52","NA","4","9","NA","0","NA","21","52","NA","21","52","NA","4","9","NA","4","9","NA","21","52","NA","4","9","NA","4","9","NA","4","9","NA","4","9","NA","4","9","NA","4","9","NA","4","9","NA","4","9","NA","4","9","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","4","4","9","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","353return","Lentiform Loewenfeld","3.3.3","0","return","NA","return","return","171.5221709998732","NA","171.5221709998732","556.5139539999145","2","psycho","1024","2","48000","-16","6","experiment","1","odd","NA","46963.17085199985","1847.1708409999792","NA","63362.865778000014","45280.71681099982","NA","64342.34203599999","46217.52631000004","NA","62262.438993999924","43082.100307000015","NA","1847.380868999835","NA","64363.149629999956","46246.82431099995","NA","64536.32871499985","46804.92093199996","NA","63362.74754399983","45280.58519299998","NA","64629.04962899984","46897.92510699999","NA","64362.155908999965","46245.53177300004","NA","62278.92697999982","43095.61653499986","NA","62645.63799199982","43462.57967699989","NA","63012.26272500003","43829.21596899996","NA","59862.36927300001","44195.56253199994","NA","60229.05019199993","44562.45594799998","NA","60595.45570899991","44929.15620799999","NA","57112.33297800004","28429.295918999967","NA","NA","NA","NA","62261.63110499988","43081.43434599992","MemorySpan_1","0","24974.773172001514","75","yes","1024"
"5","2","4","1","2","$","$","$","undefined","undefined","312.70331071952637","312.70331071952637","black","psycho","psycho","psycho","0","uniform","undefined","NA","undefined","undefined","NA","0","0","NA","5","9","NA","28","52","NA","5","9","NA","0","NA","28","52","NA","28","52","NA","5","9","NA","5","9","NA","28","52","NA","5","9","NA","5","9","NA","5","9","NA","5","9","NA","5","9","NA","5","9","NA","5","9","NA","5","9","NA","5","9","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","7","4","9","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","345345return","Lentiform Loewenfeld","3.3.3","0","return","NA","return","return","145.858778000038","NA","145.858778000038","556.5139539999145","2","psycho","1024","2","48000","-16","6","experiment","1","odd","NA","46963.17085199985","1847.1708409999792","NA","66597.0599289999","45280.71681099982","NA","67665.33973599985","46217.52631000004","NA","64755.19980499985","43082.100307000015","NA","1847.380868999835","NA","67679.5690869999","46246.82431099995","NA","67827.19943400002","46804.92093199996","NA","66596.94543299997","45280.58519299998","NA","67920.03742399992","46897.92510699999","NA","67679.207765","46245.53177300004","NA","64778.50674899992","43095.61653499986","NA","65145.41816299993","43462.57967699989","NA","65512.12426999996","43829.21596899996","NA","65878.72882499982","44195.56253199994","NA","66245.48146899996","44562.45594799998","NA","60595.45570899991","44929.15620799999","NA","57112.33297800004","28429.295918999967","NA","NA","NA","NA","64754.37673199986","43081.43434599992","MemorySpan_1","0","25641.67147900116","82","yes","1024"
"1","8","3","$","$","$","$","$","undefined","undefined","310.489945505897","310.489945505897","black","psycho","psycho","psycho","0","uniform","undefined","NA","undefined","undefined","NA","0","0","NA","6","9","NA","31","52","NA","6","9","NA","0","NA","31","52","NA","31","52","NA","6","9","NA","6","9","NA","31","52","NA","6","9","NA","6","9","NA","6","9","NA","6","9","NA","6","9","NA","6","9","NA","6","9","NA","6","9","NA","6","9","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","3","4","9","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","34return","Lentiform Loewenfeld","3.3.3","0","return","NA","return","return","305.899243000109","NA","305.899243000109","556.5139539999145","2","psycho","1024","2","48000","-16","6","experiment","1","odd","NA","46963.17085199985","1847.1708409999792","NA","69147.04209299998","45280.71681099982","NA","69796.65263099992","46217.52631000004","NA","68044.06252399986","43082.100307000015","NA","1847.380868999835","NA","69813.5443399999","46246.82431099995","NA","70121.00847399984","46804.92093199996","NA","69146.9056169999","45280.58519299998","NA","70198.76157999987","46897.92510699999","NA","69811.59245999993","46245.53177300004","NA","68062.04091199992","43095.61653499986","NA","68428.7660089999","43462.57967699989","NA","68795.42416499999","43829.21596899996","NA","65878.72882499982","44195.56253199994","NA","66245.48146899996","44562.45594799998","NA","60595.45570899991","44929.15620799999","NA","57112.33297800004","28429.295918999967","NA","NA","NA","NA","68043.23708999982","43081.43434599992","MemorySpan_1","0","26391.64536800125","85","yes","1024"
"3","1","8","4","4","4","$","$","undefined","undefined","297.8421547143019","297.8421547143019","black","psycho","psycho","psycho","0","uniform","undefined","NA","undefined","undefined","NA","0","0","NA","7","9","NA","37","52","NA","7","9","NA","0","NA","37","52","NA","37","52","NA","7","9","NA","7","9","NA","37","52","NA","7","9","NA","7","9","NA","7","9","NA","7","9","NA","7","9","NA","7","9","NA","7","9","NA","7","9","NA","7","9","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","6","4","9","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","34535return","Lentiform Loewenfeld","3.3.3","0","return","NA","return","return","168.387696000078","NA","168.387696000078","556.5139539999145","2","psycho","1024","2","48000","-16","6","experiment","1","odd","NA","46963.17085199985","1847.1708409999792","NA","72496.87624900002","45280.71681099982","NA","73496.74401699986","46217.52631000004","NA","70289.12990399999","43082.100307000015","NA","1847.380868999835","NA","73511.97701499995","46246.82431099995","NA","73682.21196399986","46804.92093199996","NA","72496.76062100002","45280.58519299998","NA","73787.12080499985","46897.92510699999","NA","73511.622064","46245.53177300004","NA","70311.96109999996","43095.61653499986","NA","70678.69978499993","43462.57967699989","NA","71045.18603299993","43829.21596899996","NA","71411.85020499984","44195.56253199994","NA","71779.17658000001","44562.45594799998","NA","72145.29383299987","44929.15620799999","NA","57112.33297800004","28429.295918999967","NA","NA","NA","NA","70288.354798","43081.43434599992","MemorySpan_1","0","27103.636079001473","91","yes","1024"
"2","9","6","4","6","$","$","$","undefined","undefined","292.54683501054194","292.54683501054194","black","psycho","psycho","psycho","0","uniform","undefined","NA","undefined","undefined","NA","0","0","NA","8","9","NA","41","52","NA","8","9","NA","0","NA","41","52","NA","41","52","NA","8","9","NA","8","9","NA","41","52","NA","8","9","NA","8","9","NA","8","9","NA","8","9","NA","8","9","NA","8","9","NA","8","9","NA","8","9","NA","8","9","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","4","4","9","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","345return","Lentiform Loewenfeld","3.3.3","0","return","NA","return","return","269.8140219999914","NA","269.8140219999914","556.5139539999145","2","psycho","1024","2","48000","-16","6","experiment","1","odd","NA","46963.17085199985","1847.1708409999792","NA","75746.75046999982","45280.71681099982","NA","76439.88455599992","46217.52631000004","NA","73911.39384899999","43082.100307000015","NA","1847.380868999835","NA","76463.51665799989","46246.82431099995","NA","76735.08163299994","46804.92093199996","NA","75746.573872","45280.58519299998","NA","76817.22380699989","46897.92510699999","NA","76461.683945","46245.53177300004","NA","73928.27066899986","43095.61653499986","NA","74295.07274599996","43462.57967699989","NA","74661.92171800003","43829.21596899996","NA","75028.58777099982","44195.56253199994","NA","75395.01544599989","44562.45594799998","NA","72145.29383299987","44929.15620799999","NA","57112.33297800004","28429.295918999967","NA","NA","NA","NA","73910.5680109999","43081.43434599992","MemorySpan_1","0","27791.949326001486","95","yes","1024"
"6","5","5","4","$","$","$","$","undefined","undefined","287.82537053537044","287.82537053537044","black","psycho","psycho","psycho","0","uniform","undefined","NA","undefined","undefined","NA","0","0","NA","9","9","NA","45","52","NA","9","9","NA","0","NA","45","52","NA","45","52","NA","9","9","NA","9","9","NA","45","52","NA","9","9","NA","9","9","NA","9","9","NA","9","9","NA","9","9","NA","9","9","NA","9","9","NA","9","9","NA","9","9","Fri Aug 21 23:35:39 2020","The main experiment item","yes","","MemorySpan_1.osexp","/Users/ethan/Documents/GitHub/OpenSesame","no","mono","no","18","no","white","no","yes","768","psycho","4","4","9","/Users/ethan/Documents/GitHub/OpenSesame/subject-1.csv","psycho","343return","Lentiform Loewenfeld","3.3.3","0","return","NA","return","return","158.51481599998078","NA","158.51481599998078","556.5139539999145","2","psycho","1024","2","48000","-16","6","experiment","1","odd","NA","46963.17085199985","1847.1708409999792","NA","78397.10166099985","45280.71681099982","NA","79237.60269399986","46217.52631000004","NA","76929.68809599984","43082.100307000015","NA","1847.380868999835","NA","79263.65246499995","46246.82431099995","NA","79423.98795299983","46804.92093199996","NA","78396.98731899989","45280.58519299998","NA","79499.73929099998","46897.92510699999","NA","79261.84630299985","46245.53177300004","NA","76945.25624499988","43095.61653499986","NA","77311.91266499991","43462.57967699989","NA","77678.61921099984","43829.21596899996","NA","78045.54893599993","44195.56253199994","NA","75395.01544599989","44562.45594799998","NA","72145.29383299987","44929.15620799999","NA","57112.33297800004","28429.295918999967","NA","NA","NA","NA","76929.01612399987","43081.43434599992","MemorySpan_1","0","28494.711683001675","99","yes","1024"
