acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color,color_backend,compensation,coordinates,correct,correct_instructions,correct_keyboard_response,correct_reading_instructions,correct_response,count_ISI,count_experiment,count_fixation,count_instructions,count_keyboard_response,count_logger,count_naming_instructions,count_naming_loop,count_reading_instructions,count_reading_loop,count_stim,count_trial_sequence,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,interference,keyboard_backend,live_row,live_row_reading_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_instructions,response_keyboard_response,response_naming_instructions,response_reading_instructions,response_time,response_time_instructions,response_time_keyboard_response,response_time_naming_instructions,response_time_reading_instructions,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,task,time_ISI,time_experiment,time_fixation,time_instructions,time_keyboard_response,time_logger,time_naming_instructions,time_naming_loop,time_reading_instructions,time_reading_loop,time_stim,time_trial_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,word
100,100,909,909,black,legacy,legacy,yellow,legacy,0,uniform,1,undefined,1,undefined,down,0,0,0,0,0,0,0,0,0,0,0,0,Fri Oct  2 11:43:55 2020,The main experiment item,yes,Newexperiment.osexp,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test,no,mono,no,18,no,white,no,no,768,1,legacy,0,0,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test\quickrun.csv,legacy,Lentiform Loewenfeld,03.03.03,0,down,right,down,NA,right,909,6099,909,NA,1795,2,legacy,1024,2,48000,-16,experiment,999,odd,reading,NA,3156,11122,3159,11875,12785,NA,NA,9263,11058,11874,11120,New experiment,1,909,1,yes,1024,blå
100,100,797,797,black,legacy,legacy,yellow,legacy,0,uniform,1,undefined,1,undefined,left,1,0,1,0,1,1,0,0,0,0,1,1,Fri Oct  2 11:43:55 2020,The main experiment item,yes,Newexperiment.osexp,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test,no,mono,no,18,no,white,no,no,768,1,legacy,1,1,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test\quickrun.csv,legacy,Lentiform Loewenfeld,03.03.03,0,left,right,left,NA,right,685,6099,685,NA,1795,2,legacy,1024,2,48000,-16,experiment,999,odd,reading,12830,3156,13930,3159,14683,15368,NA,NA,9263,11058,14683,13927,New experiment,2,1594,2,yes,1024,rød
100,100,7.726.666.666.666.660,7.726.666.666.666.660,black,legacy,legacy,red,legacy,0,uniform,1,undefined,1,undefined,right,2,0,2,0,2,2,0,0,0,0,2,2,Fri Oct  2 11:43:55 2020,The main experiment item,yes,Newexperiment.osexp,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test,no,mono,no,18,no,white,no,no,768,1,legacy,2,2,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test\quickrun.csv,legacy,Lentiform Loewenfeld,03.03.03,0,right,right,right,NA,right,724,6099,724,NA,1795,2,legacy,1024,2,48000,-16,experiment,999,odd,reading,15412,3156,16510,3159,17263,17988,NA,NA,9263,11058,17263,16507,New experiment,3,2318,3,yes,1024,gul
100,100,745,745,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,1,undefined,left,3,0,3,0,3,3,0,0,0,0,3,3,Fri Oct  2 11:43:55 2020,The main experiment item,yes,Newexperiment.osexp,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test,no,mono,no,18,no,white,no,no,768,1,legacy,3,3,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test\quickrun.csv,legacy,Lentiform Loewenfeld,03.03.03,0,left,right,left,NA,right,662,6099,662,NA,1795,2,legacy,1024,2,48000,-16,experiment,999,odd,reading,18007,3156,19087,3159,19840,20503,NA,NA,9263,11058,19838,19085,New experiment,4,2980,4,yes,1024,rød
100,100,710.4,710.4,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,1,undefined,down,4,0,4,0,4,4,0,0,0,0,4,4,Fri Oct  2 11:43:55 2020,The main experiment item,yes,Newexperiment.osexp,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test,no,mono,no,18,no,white,no,no,768,0,legacy,4,4,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test\quickrun.csv,legacy,Lentiform Loewenfeld,03.03.03,0,down,right,down,NA,right,572,6099,572,NA,1795,2,legacy,1024,2,48000,-16,experiment,999,odd,reading,20545,3156,21658,3159,22410,22982,NA,NA,9263,11058,22410,21654,New experiment,5,3552,5,yes,1024,blå
100,100,661,661,black,legacy,legacy,yellow,legacy,0,uniform,1,undefined,1,undefined,right,5,0,5,0,5,5,0,0,0,0,5,5,Fri Oct  2 11:43:55 2020,The main experiment item,yes,Newexperiment.osexp,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test,no,mono,no,18,no,white,no,no,768,0,legacy,5,5,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test\quickrun.csv,legacy,Lentiform Loewenfeld,03.03.03,0,right,right,right,NA,right,414,6099,414,NA,1795,2,legacy,1024,2,48000,-16,experiment,999,odd,reading,22988,3156,24089,3159,24842,25256,NA,NA,9263,11058,24842,24086,New experiment,6,3966,6,yes,1024,gul
100,100,6.552.857.142.857.140,6.552.857.142.857.140,black,legacy,legacy,red,legacy,0,uniform,1,undefined,1,undefined,down,6,0,6,0,6,6,0,0,0,0,6,6,Fri Oct  2 11:43:55 2020,The main experiment item,yes,Newexperiment.osexp,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test,no,mono,no,18,no,white,no,no,768,1,legacy,6,6,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test\quickrun.csv,legacy,Lentiform Loewenfeld,03.03.03,0,down,right,down,NA,right,621,6099,621,NA,1795,2,legacy,1024,2,48000,-16,experiment,999,odd,reading,25261,3156,26354,3159,27107,27729,NA,NA,9263,11058,27107,26351,New experiment,7,4587,7,yes,1024,blå
100,100,664.75,664.75,black,legacy,legacy,red,legacy,0,uniform,1,undefined,1,undefined,left,7,0,7,0,7,7,0,0,0,0,7,7,Fri Oct  2 11:43:55 2020,The main experiment item,yes,Newexperiment.osexp,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test,no,mono,no,18,no,white,no,no,768,0,legacy,7,7,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test\quickrun.csv,legacy,Lentiform Loewenfeld,03.03.03,0,left,right,left,NA,right,731,6099,731,NA,1795,2,legacy,1024,2,48000,-16,experiment,999,odd,reading,27766,3156,28925,3159,29677,30409,NA,NA,9263,11058,29677,28920,New experiment,8,5318,8,yes,1024,rød
100,100,6.766.666.666.666.660,6.766.666.666.666.660,black,legacy,legacy,blue,legacy,0,uniform,1,undefined,1,undefined,right,8,0,8,0,8,8,0,0,0,0,8,8,Fri Oct  2 11:43:55 2020,The main experiment item,yes,Newexperiment.osexp,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test,no,mono,no,18,no,white,no,no,768,1,legacy,8,8,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test\quickrun.csv,legacy,Lentiform Loewenfeld,03.03.03,0,right,right,right,NA,right,772,6099,772,NA,1795,2,legacy,1024,2,48000,-16,experiment,999,odd,reading,30451,3156,31533,3159,32286,33059,NA,NA,9263,11058,32285,31530,New experiment,9,6090,9,yes,1024,gul
100,100,734.7,734.7,black,legacy,legacy,red,legacy,0,uniform,1,undefined,1,undefined,left,9,0,9,0,9,9,0,0,0,0,9,9,Fri Oct  2 11:43:55 2020,The main experiment item,yes,Newexperiment.osexp,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test,no,mono,no,18,no,white,no,no,768,1,legacy,0,8,C:\Users\Tina Christensen\OneDrive - Aarhus Universitet\Lingvistik AU\3. Semester\Sprog. kognition og hjerne\Reading. naming test\quickrun.csv,legacy,Lentiform Loewenfeld,03.03.03,0,left,right,left,right,right,1257,6099,1257,7216,1795,2,legacy,1024,2,48000,-16,experiment,999,odd,naming,33099,3156,41445,3159,42198,43455,34155,41374,9263,11058,42197,41443,New experiment,10,7347,10,yes,1024,blå
