wine-grapes,Related,B,LEFT
dance-waltz,Related,B,LEFT
fat-thin,Related,B,LEFT
peace-war,Related,B,LEFT
pen-ink,Related,B,LEFT
good-bad,Related,B,LEFT
hop-skip,Related,B,LEFT
rip-tear,Related,B,LEFT
hill-mountain,Related,B,LEFT
scissors-cut,Related,B,LEFT
health-sickness,Related,B,LEFT
add-subtract,Related,B,LEFT
blue-sky,Related,B,LEFT
dark-night,Related,B,LEFT
high-low,Related,B,LEFT
trout-fish,Related,B,LEFT
black-white,Related,B,LEFT
boy-girl,Related,B,LEFT
dog-cat,Related,B,LEFT
hard-soft,Related,B,LEFT
lean-stem,Unrelated,B,LEFT
fine-grapes,Unrelated,B,LEFT
ranch-waltz,Unrelated,B,LEFT
bat-thin,Unrelated,B,LEFT
peach-war,Unrelated,B,LEFT
men-ink,Unrelated,B,LEFT
gold-bad,Unrelated,B,LEFT
mop-skip,Unrelated,B,LEFT
rid-tear,Unrelated,B,LEFT
will-mountain,Unrelated,B,LEFT
scorpion-cut,Unrelated,B,LEFT
wealth-sickness,Unrelated,B,LEFT
age-subtract,Unrelated,B,LEFT
glue-sky,Unrelated,B,LEFT
park-night,Unrelated,B,LEFT
sigh-low,Unrelated,B,LEFT
treat-fish,Unrelated,B,LEFT
slack-white,Unrelated,B,LEFT
toy-girl,Unrelated,B,LEFT
dig-cat,Unrelated,B,LEFT
hoy-wappy,Nonword,B,RIGHT
geaf-ster,Nonword,B,RIGHT
wone-brapes,Nonword,B,RIGHT
jance-maltz,Nonword,B,RIGHT
fot-thip,Nonword,B,RIGHT
ren-onk,Nonword,B,RIGHT
goid-nad,Nonword,B,RIGHT
fop-skup,Nonword,B,RIGHT
rin-mear,Nonword,B,RIGHT
hilp-bountain,Nonword,B,RIGHT
scyssors-cet,Nonword,B,RIGHT
dealth-fickness,Nonword,B,RIGHT
ald-rubtract,Nonword,B,RIGHT
darl-nighp,Nonword,B,RIGHT
figh-lew,Nonword,B,RIGHT
frout-hish,Nonword,B,RIGHT
block-whote,Nonword,B,RIGHT
bey-wirl,Nonword,B,RIGHT
man-wotar,Filler,B,RIGHT
rough-smoat,Filler,B,RIGHT
bread-bottin,Filler,B,RIGHT
bitter-sweax,Filler,B,RIGHT
green-gliss,Filler,B,RIGHT
large-smipo,Filler,B,RIGHT
bed-slorg,Filler,B,RIGHT
afraid-scobet,Filler,B,RIGHT
cabbage-lottir,Filler,B,RIGHT
door-wingew,Filler,B,RIGHT
moship-father,Filler,B,RIGHT
neibon-thread,Filler,B,RIGHT
brothog-sister,Filler,B,RIGHT
capsute-pill,Filler,B,RIGHT
boeh-ale,Filler,B,RIGHT
bosh-water,Filler,B,RIGHT
nirey-south,Filler,B,RIGHT
honip-bee,Filler,B,RIGHT
sconix-marble,Filler,B,RIGHT
porry-cent,Filler,B,RIGHT
