church-steeple,Related,C,LEFT
law-justice,Related,C,LEFT
sheep-lamb,Related,C,LEFT
eat-food,Related,C,LEFT
insect-bug,Related,C,LEFT
frown-smile,Related,C,LEFT
fruit-apple,Related,C,LEFT
square-box,Related,C,LEFT
village-town,Related,C,LEFT
hand-foot,Related,C,LEFT
ice-snow,Related,C,LEFT
baby-child,Related,C,LEFT
moon-star,Related,C,LEFT
oil-gas,Related,C,LEFT
thought-mind,Related,C,LEFT
play-work,Related,C,LEFT
shallow-deep,Related,C,LEFT
egg-yolk,Related,C,LEFT
pain-hurt,Related,C,LEFT
sharp-dull,Related,C,LEFT
weasel-bird,Unrelated,C,LEFT
churn-steeple,Unrelated,C,LEFT
paw-justice,Unrelated,C,LEFT
steep-lamb,Unrelated,C,LEFT
ear-food,Unrelated,C,LEFT
invest-bug,Unrelated,C,LEFT
brown-smile,Unrelated,C,LEFT
stout-apple,Unrelated,C,LEFT
squash-box,Unrelated,C,LEFT
pillage-town,Unrelated,C,LEFT
land-foot,Unrelated,C,LEFT
ace-snow,Unrelated,C,LEFT
busy-child,Unrelated,C,LEFT
mood-star,Unrelated,C,LEFT
foil-gas,Unrelated,C,LEFT
fought-mind,Unrelated,C,LEFT
slay-work,Unrelated,C,LEFT
hallow-deep,Unrelated,C,LEFT
peg-yolk,Unrelated,C,LEFT
gain-hurt,Unrelated,C,LEFT
hird-seft,Nonword,C,RIGHT
eable-wird,Nonword,C,RIGHT
chorch-steeble,Nonword,C,RIGHT
liw-justoce,Nonword,C,RIGHT
sheex-famb,Nonword,C,RIGHT
eas-jood,Nonword,C,RIGHT
onsect-fug,Nonword,C,RIGHT
browt-smice,Nonword,C,RIGHT
fruid-asple,Nonword,C,RIGHT
squame-bor,Nonword,C,RIGHT
villane-towp,Nonword,C,RIGHT
yand-foox,Nonword,C,RIGHT
oce-snaw,Nonword,C,RIGHT
boby-shild,Nonword,C,RIGHT
hoon-stad,Nonword,C,RIGHT
oim-tas,Nonword,C,RIGHT
thoughf-mand,Nonword,C,RIGHT
galy-hork,Nonword,C,RIGHT
shandow-meep,Nonword,C,RIGHT
ege-bolk,Nonword,C,RIGHT
man-wotar,Filler,C,RIGHT
rough-smoat,Filler,C,RIGHT
bread-bottin,Filler,C,RIGHT
bitter-sweax,Filler,C,RIGHT
green-gliss,Filler,C,RIGHT
large-smipo,Filler,C,RIGHT
bed-slorg,Filler,C,RIGHT
afraid-scobet,Filler,C,RIGHT
cabbage-lottir,Filler,C,RIGHT
door-wingew,Filler,C,RIGHT
moship-father,Filler,C,RIGHT
neibon-thread,Filler,C,RIGHT
brothog-sister,Filler,C,RIGHT
capsute-pill,Filler,C,RIGHT
boeh-ale,Filler,C,RIGHT
bosh-water,Filler,C,RIGHT
nirey-south,Filler,C,RIGHT
honip-bee,Filler,C,RIGHT
sconix-marble,Filler,C,RIGHT
porry-cent,Filler,C,RIGHT
