"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_instructions2","correct_instructions3","correct_instructions4","correct_keyboard_response","correct_response","correct_stim","count_ISI","count_block_one","count_block_two","count_break","count_experiment","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_instructions4","count_keyboard_response","count_logger","count_new_inline_javascript","count_stim","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","false_response","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_one","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break","response_instructions1","response_instructions2","response_instructions3","response_instructions4","response_keyboard_response","response_stim","response_time","response_time_break","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_instructions4","response_time_keyboard_response","response_time_stim","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim","subject_nr","subject_parity","time_ISI","time_block_one","time_block_two","time_break","time_experiment","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_instructions4","time_keyboard_response","time_logger","time_new_inline_javascript","time_stim","time_trial_sequence","title","total_correct","total_response_time","total_responses","true_false","true_response","uniform_coordinates","width"
"0","0","1000","1000","black","legacy","legacy","legacy","0","S1","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tue Nov 16 22:48:35 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","m","no","mono","no","18","no","white","no","no","768","legacy","0","0","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","526","893","522","603","1000","1573","2","legacy","1024","2","48000","-16","experiment","A parrot is a bird.","999","odd","6982","4875","NA","NA","2213","6477","2297","2846","3746","4272","7182","8182","2292","4900","4896","Sentence_verification","0","1000","1","TRUE","z","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","1","0","0","0","0","1","0","0","0","0","1","1","0","1","1","Tue Nov 16 22:48:35 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","m","no","mono","no","18","no","white","no","no","768","legacy","1","1","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","526","893","522","603","1000","1125","2","legacy","1024","2","48000","-16","experiment","Boston is Boston. ","999","odd","9886","4875","NA","NA","2213","9382","2297","2846","3746","4272","10086","11086","2292","8253","8249","Sentence_verification","0","2000","2","TRUE","z","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","PO","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","2","0","0","0","0","2","0","0","0","0","2","2","0","2","2","Tue Nov 16 22:48:35 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","m","no","mono","no","18","no","white","no","no","768","legacy","2","2","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","526","893","522","603","1000","1312","2","legacy","1024","2","48000","-16","experiment","A rose has bark.","999","odd","12969","4875","NA","NA","2213","12463","2297","2846","3746","4272","13169","14169","2292","11147","11142","Sentence_verification","0","3000","3","FALSE","z","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","PO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","0","3","0","0","0","0","3","0","0","0","0","3","3","0","3","3","Tue Nov 16 22:48:35 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","m","no","mono","no","18","no","white","no","no","768","legacy","3","3","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","526","893","522","603","1000","2122","2","legacy","1024","2","48000","-16","experiment","A lollypop has a stick. ","999","odd","16861","4875","NA","NA","2213","16357","2297","2846","3746","4272","17061","18061","2292","14230","14226","Sentence_verification","0","4000","4","TRUE","z","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","PO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","4","0","0","0","0","4","0","0","0","0","4","4","0","4","4","Tue Nov 16 22:48:35 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","m","no","mono","no","18","no","white","no","no","768","legacy","4","4","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","526","893","522","603","1000","1354","2","legacy","1024","2","48000","-16","experiment","A sunflower is yellow. ","999","odd","19983","4875","NA","NA","2213","19479","2297","2846","3746","4272","20184","21184","2292","18121","18117","Sentence_verification","0","5000","5","TRUE","z","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","P1","uniform","0","undefined","undefined","undefined","undefined","0","[false_response]","1","5","0","0","0","0","5","0","0","0","0","5","5","0","5","5","Tue Nov 16 22:48:35 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","m","no","mono","no","18","no","white","no","no","768","legacy","5","5","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","m","1000","NA","526","893","522","603","1000","1232","2","legacy","1024","2","48000","-16","experiment","A daisy is black.","999","odd","22988","4875","NA","NA","2213","22483","2297","2846","3746","4272","23188","24188","2292","21247","21242","Sentence_verification","0","6000","6","FALSE","z","yes","1024"
"0","0","1000","1000","black","legacy","legacy","legacy","0","SO","uniform","0","undefined","undefined","undefined","undefined","0","[true_response]","1","6","0","0","0","0","6","0","0","0","0","6","6","0","6","6","Tue Nov 16 22:48:35 2021","The main experiment item","yes","Sentence_verification.osexp","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification","m","no","mono","no","18","no","white","no","no","768","legacy","6","6","/Users/ethan/Documents/GitHub/OpenSesame/SentenceVerification/quickrun.csv","legacy","Lentiform Loewenfeld","3.3.11a1","0","None","NA","space","space","space","space","None","z","1000","NA","526","893","522","603","1000","1666","2","legacy","1024","2","48000","-16","experiment","A shotgun is a shotgun. ","999","odd","26424","4875","NA","NA","2213","25920","2297","2846","3746","4272","26624","27624","2292","24250","24246","Sentence_verification","0","7000","7","TRUE","z","yes","1024"
