acc,accuracy,avg_rt,browser_codename,browser_name,browser_version,category,correct,correct_response,count_reset_feedback,count_trial_sequence,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,queryParams_batchId,queryParams_generalMultiple,response_keyboard_response,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,subject_nr,system_os,target
100,100,125,,,,None,1,m,0,33,,,,,,,,,,,,,m,119,,,,,,,,,0,,None
100,100,125,,,,None,1,m,0,34,,,,,,,,,,,,,m,131,,,,,,,,,0,,None
100,100,126,,,,None,1,m,0,35,,,,,,,,,,,,,m,148,,,,,,,,,0,,None
100,100,127,,,,None,1,m,0,36,,,,,,,,,,,,,m,146,,,,,,,,,0,,None
100,100,127,,,,None,1,m,0,37,,,,,,,,,,,,,m,152,,,,,,,,,0,,None
100,100,127,,,,None,1,m,0,38,,,,,,,,,,,,,m,136,,,,,,,,,0,,None
100,100,128,,,,None,1,m,0,39,,,,,,,,,,,,,m,148,,,,,,,,,0,,None
100,100,128,,,,None,1,m,0,40,,,,,,,,,,,,,m,142,,,,,,,,,0,,None
100,100,128,,,,None,1,m,0,41,,,,,,,,,,,,,m,130,,,,,,,,,0,,None
100,100,129,,,,None,1,m,0,42,,,,,,,,,,,,,m,148,,,,,,,,,0,,None
100,100,129,,,,None,1,m,0,43,,,,,,,,,,,,,m,137,,,,,,,,,0,,None
100,100,129,,,,None,1,m,0,44,,,,,,,,,,,,,m,124,,,,,,,,,0,,None
100,100,130,,,,None,1,m,0,45,,,,,,,,,,,,,m,169,,,,,,,,,0,,None
100,100,129,,,,None,1,m,0,46,,,,,,,,,,,,,m,117,,,,,,,,,0,,None
100,100,129,,,,None,1,m,0,47,,,,,,,,,,,,,m,120,,,,,,,,,0,,None
100,100,130,,,,None,1,m,0,48,,,,,,,,,,,,,m,144,,,,,,,,,0,,None
100,100,130,,,,None,1,m,0,49,,,,,,,,,,,,,m,141,,,,,,,,,0,,None
100,100,80,,,,None,1,m,0,0,,,,,,,,,,,,,m,80,,,,,,,,,1,,None
100,100,101,,,,None,1,m,0,1,,,,,,,,,,,,,m,122,,,,,,,,,1,,None
100,100,111,,,,None,1,m,0,2,,,,,,,,,,,,,m,131,,,,,,,,,1,,None
100,100,112,,,,None,1,m,0,3,,,,,,,,,,,,,m,115,,,,,,,,,1,,None
100,100,109,,,,None,1,m,0,4,,,,,,,,,,,,,m,99,,,,,,,,,1,,None
100,100,108,,,,None,1,m,0,5,,,,,,,,,,,,,m,103,,,,,,,,,1,,None
100,100,108,,,,None,1,m,0,6,,,,,,,,,,,,,m,108,,,,,,,,,1,,None
100,100,109,,,,None,1,m,0,7,,,,,,,,,,,,,m,113,,,,,,,,,1,,None
100,100,110,,,,None,1,m,0,8,,,,,,,,,,,,,m,119,,,,,,,,,1,,None
