"acc","accuracy","avg_rt","category","correct","correct_response","count_reset_feedback","count_trial_sequence","response_keyboard_response","response_time","subject_nr","target"
"100","100","346.5740050014574","NA","1","m","0","0","m","346.5740050014574","0","NA"
"100","100","273.7066150002647","NA","1","m","0","1","m","200.83922499907203","0","NA"
