"setSize","present","rt"
1,"NotPresent",656.577777777778
2,"NotPresent",647.204444444444
3,"NotPresent",688.678148148148
4,"NotPresent",730.544276094276
5,"NotPresent",728.284542124542
6,"NotPresent",774.000700350847
1,"Present",580.244444444444
2,"Present",623.077777777778
3,"Present",676.662592592593
4,"Present",711.24462962963
5,"Present",749.985791430791
6,"Present",751.014862637363
