"","Span","NotPresent","Present"
"1",1,656.577777777778,580.244444444444
"2",2,647.204444444444,623.077777777778
"3",3,688.678148148148,676.662592592593
"4",4,730.544276094276,711.24462962963
"5",5,728.284542124542,749.985791430791
"6",6,774.000700350847,751.014862637363
