,condition,num_letters,type,prime,target,correct_response,block
0,identical,4,animal,bull,bull,a,block1
9,identical,4,animal,hare,hare,a,block1
18,identical,4,animal,mink,mink,a,block1
27,identical,5,animal,camel,camel,a,block1
36,identical,5,animal,mouse,mouse,a,block1
45,identical,5,animal,tiger,tiger,a,block1
54,identical,6,animal,cougar,cougar,a,block1
63,identical,6,animal,rabbit,rabbit,a,block1
72,identical,7,animal,buffalo,buffalo,a,block1
81,identical,7,animal,gorilla,gorilla,a,block1
90,identical,7,animal,octupus,octupus,a,block1
99,identical,8,animal,chipmunk,chipmunk,a,block1
108,identical,8,animal,tortoise,tortoise,a,block1
117,identical,8,animal,kangaroo,kangaroo,a,block1
0,identical,4,fruit_veg,bean,bean,f,block1
9,identical,4,fruit_veg,corn,corn,f,block1
18,identical,4,fruit_veg,lime,lime,f,block1
27,identical,5,fruit_veg,galia,galia,f,block1
36,identical,5,fruit_veg,mango,mango,f,block1
45,identical,5,fruit_veg,peach,peach,f,block1
54,identical,6,fruit_veg,cherry,cherry,f,block1
63,identical,6,fruit_veg,pepper,pepper,f,block1
72,identical,7,fruit_veg,apricot,apricot,f,block1
81,identical,7,fruit_veg,spinach,spinach,f,block1
90,identical,7,fruit_veg,lettuce,lettuce,f,block1
99,identical,8,fruit_veg,eggplant,eggplant,f,block1
108,identical,8,fruit_veg,mushroom,mushroom,f,block1
117,identical,8,fruit_veg,chickpea,chickpea,f,block1
4,semi-scrambled,4,animal,claf,calf,a,block1
13,semi-scrambled,4,animal,lmab,lamb,a,block1
22,semi-scrambled,4,animal,pmua,puma,a,block1
31,semi-scrambled,5,animal,hrsoe,horse,a,block1
40,semi-scrambled,5,animal,pdana,panda,a,block1
49,semi-scrambled,6,animal,wabmot,wombat,a,block1
58,semi-scrambled,6,animal,dekony,donkey,a,block1
67,semi-scrambled,6,animal,tlurte,turtle,a,block1
76,semi-scrambled,7,animal,cikechn,chicken,a,block1
85,semi-scrambled,7,animal,hmaestr,hamster,a,block1
94,semi-scrambled,7,animal,pneigun,penguin,a,block1
103,semi-scrambled,8,animal,eanhplet,elephant,a,block1
112,semi-scrambled,8,animal,shesaore,seahorse,a,block1
4,semi-scrambled,4,fruit_veg,dtae,date,f,block1
13,semi-scrambled,4,fruit_veg,paer,pear,f,block1
22,semi-scrambled,4,fruit_veg,klae,kale,f,block1
31,semi-scrambled,5,fruit_veg,loemn,lemon,f,block1
40,semi-scrambled,5,fruit_veg,oivle,olive,f,block1
49,semi-scrambled,6,fruit_veg,cuitrs,citrus,f,block1
58,semi-scrambled,6,fruit_veg,giarlc,garlic,f,block1
67,semi-scrambled,6,fruit_veg,ptatoo,potato,f,block1
76,semi-scrambled,7,fruit_veg,aoadcvo,avocado,f,block1
85,semi-scrambled,7,fruit_veg,rrbauhb,rhubarb,f,block1
94,semi-scrambled,7,fruit_veg,pianrsp,parsnip,f,block1
103,semi-scrambled,8,fruit_veg,slcaolin,scallion,f,block1
112,semi-scrambled,8,fruit_veg,btooeert,beetroot,f,block1
8,fully-scrambled,4,animal,aotg,goat,a,block1
17,fully-scrambled,4,animal,niol,lion,a,block1
26,fully-scrambled,5,animal,noibs,bison,a,block1
35,fully-scrambled,5,animal,akoal,koala,a,block1
44,fully-scrambled,5,animal,iohrn,rhino,a,block1
53,fully-scrambled,6,animal,ebreav,beaver,a,block1
62,fully-scrambled,6,animal,guajra,jaguar,a,block1
71,fully-scrambled,6,animal,uswlra,walrus,a,block1
80,fully-scrambled,7,animal,inhlpdo,dolphin,a,block1
89,fully-scrambled,7,animal,ocaornc,raccoon,a,block1
98,fully-scrambled,8,animal,etlaopen,antelope,a,block1
107,fully-scrambled,8,animal,lnafomg,flamingo,a,block1
116,fully-scrambled,8,animal,lypustap,platypus,a,block1
8,fully-scrambled,4,fruit_veg,opem,pome,f,block1
17,fully-scrambled,4,fruit_veg,mpul,plum,f,block1
26,fully-scrambled,5,fruit_veg,niono,onion,f,block1
35,fully-scrambled,5,fruit_veg,rpgea,grape,f,block1
44,fully-scrambled,5,fruit_veg,eprun,prune,f,block1
53,fully-scrambled,6,fruit_veg,rcoatr,carrot,f,block1
62,fully-scrambled,6,fruit_veg,enorag,orange,f,block1
71,fully-scrambled,6,fruit_veg,qsashu,squash,f,block1
80,fully-scrambled,7,fruit_veg,ncucoto,coconut,f,block1
89,fully-scrambled,7,fruit_veg,kpumpni,pumpkin,f,block1
98,fully-scrambled,8,fruit_veg,coblocir,broccoli,f,block1
107,fully-scrambled,8,fruit_veg,nchizuic,zucchini,f,block1
116,fully-scrambled,8,fruit_veg,mcurcube,cucumber,f,block1
