acc,accuracy,average_response_time,avg_rt,background,bidi,block,block_picker,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_keyboard_response,correct_response,count_backward_mask,count_block_1,count_block_2,count_block_3,count_break,count_correct,count_counter_balance,count_experiment,count_fix,count_forward_mask,count_incorrect,count_instructions_1,count_instructions_2,count_instructions_3,count_instructions_4,count_keyboard_response,count_logger,count_osweb,count_practice_loop,count_prime,count_target,count_trials,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,num_letters,opensesame_codename,opensesame_version,penwidth,prime,queryParams_batchId,queryParams_fbclid,queryParams_generalMultiple,repeat_cycle,response,response_break,response_instructions_1,response_instructions_2,response_instructions_3,response_instructions_4,response_keyboard_response,response_time,response_time_break,response_time_instructions_1,response_time_instructions_2,response_time_instructions_3,response_time_instructions_4,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_backward_mask,time_block_1,time_block_2,time_block_3,time_break,time_correct,time_counter_balance,time_fix,time_forward_mask,time_incorrect,time_instructions_1,time_instructions_2,time_instructions_3,time_instructions_4,time_keyboard_response,time_logger,time_practice_loop,time_prime,time_target,title,total_correct,total_response_time,total_responses,type,uniform_coordinates,width
82,82,713,713,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,f,10,0,0,0,10,10,0,0,10,10,10,0,0,0,0,10,10,0,0,10,10,10,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,4,osweb,1.4.11,1,lmie,268,,,0,f,,f,f,f,a,f,654,,20898,4159,2204,9661,654,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,lime,58199,24,24,24,,54999,22,57447,58117,56917,24,20932,25100,40000,58251,58915,24,58167,58251,ExPsyLing2022_Class1,9,7844,11,fruit_veg,yes,1024
83,83,713,713,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,identical,uniform,1,1,a,11,0,0,0,11,11,0,0,11,11,11,0,0,0,0,11,11,0,0,11,11,11,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,8,osweb,1.4.11,1,flamingo,268,,,0,a,,f,f,f,a,a,717,,20898,4159,2204,9661,717,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,flamingo,60165,24,24,24,,58917,22,59445,60099,56917,24,20932,25100,40000,60200,60932,24,60133,60200,ExPsyLing2022_Class1,10,8561,12,animal,yes,1024
85,85,706,706,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,fully-scrambled,uniform,1,1,a,12,0,0,0,12,12,0,0,12,12,12,0,0,0,0,12,12,0,0,12,12,12,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,5,osweb,1.4.11,1,anpad,268,,,0,a,,f,f,f,a,a,622,,20898,4159,2204,9661,622,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,panda,62199,24,24,24,,60933,22,61463,62133,56917,24,20932,25100,40000,62250,62882,24,62167,62250,ExPsyLing2022_Class1,11,9183,13,animal,yes,1024
86,86,699,699,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,identical,uniform,1,1,f,13,0,0,0,13,13,0,0,13,13,13,0,0,0,0,13,13,0,0,13,13,13,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,8,osweb,1.4.11,1,cucumber,268,,,0,f,,f,f,f,a,f,599,,20898,4159,2204,9661,599,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,cucumber,64132,24,24,24,,62884,22,63410,64064,56917,24,20932,25100,40000,64183,64782,24,64099,64183,ExPsyLing2022_Class1,12,9782,14,fruit_veg,yes,1024
87,87,696,696,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,fully-scrambled,uniform,1,1,a,14,0,0,0,14,14,0,0,14,14,14,0,0,0,0,14,14,0,0,14,14,14,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,8,osweb,1.4.11,1,aaesoehr,268,,,0,a,,f,f,f,a,a,653,,20898,4159,2204,9661,653,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,seahorse,66066,24,24,24,,64784,22,65312,65984,56917,24,20932,25100,40000,66102,66766,24,66032,66102,ExPsyLing2022_Class1,13,10435,15,animal,yes,1024
88,88,698,698,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,f,15,0,0,0,15,15,0,0,15,15,15,0,0,0,0,15,15,0,0,15,15,15,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,5,osweb,1.4.11,1,mgano,268,,,0,f,,f,f,f,a,f,739,,20898,4159,2204,9661,739,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,mango,68034,24,24,24,,66768,22,67295,67948,56917,24,20932,25100,40000,68084,68832,24,67985,68084,ExPsyLing2022_Class1,14,11174,16,fruit_veg,yes,1024
88,88,689,689,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,identical,uniform,1,1,f,16,0,0,0,16,16,0,0,16,16,16,0,0,0,0,16,16,0,0,16,16,16,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,8,osweb,1.4.11,1,broccoli,268,,,0,f,,f,f,f,a,f,535,,20898,4159,2204,9661,535,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,broccoli,70115,24,24,24,,68839,22,69371,70033,56917,24,20932,25100,40000,70150,70698,24,70082,70150,ExPsyLing2022_Class1,15,11709,17,fruit_veg,yes,1024
89,89,682,682,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,a,17,0,0,0,17,17,0,0,17,17,17,0,0,0,0,17,17,0,0,17,17,17,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,5,osweb,1.4.11,1,teigr,268,,,0,a,,f,f,f,a,a,561,,20898,4159,2204,9661,561,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,tiger,71983,24,24,24,,70702,22,71233,71900,56917,24,20932,25100,40000,72034,72596,24,71948,72034,ExPsyLing2022_Class1,16,12270,18,animal,yes,1024
89,89,677,677,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,semi-scrambled,uniform,1,1,f,18,0,0,0,18,18,0,0,18,18,18,0,0,0,0,18,18,0,0,18,18,18,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,8,osweb,1.4.11,1,mohrousm,268,,,0,f,,f,f,f,a,f,601,,20898,4159,2204,9661,601,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,mushroom,73866,24,24,24,,72598,22,73131,73783,56917,24,20932,25100,40000,73914,74533,24,73834,73914,ExPsyLing2022_Class1,17,12871,19,fruit_veg,yes,1024
90,90,673,673,black,no,block3,3,Mozilla,Netscape,5.0 (Macintosh),psycho,psycho,psycho,0,identical,uniform,1,1,a,19,0,0,0,19,19,0,0,19,19,19,0,0,0,0,19,19,0,0,19,19,19,05-11-22,05-11-22,12:00:53,Mon Dec 05 2022 12:00:53 GMT+0100 (Central European Standard Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Class1,0,0,0,no,mono,no,18,no,white,no,no,768,1005,3.6.1,psycho,psycho,8,osweb,1.4.11,1,antelope,268,,,0,a,,f,f,f,a,a,587,,20898,4159,2204,9661,587,2,psycho,875,1440,30,900,30,0,25,1440,1670238072813,1024,2,48000,-16,experiment,1,odd,MacIntel,antelope,75782,24,24,24,,74536,22,75064,75716,56917,24,20932,25100,40000,75829,76432,24,75750,75829,ExPsyLing2022_Class1,18,13458,20,animal,yes,1024
