condition,num_letters,type,prime,target
identical,5,fruit_veg,mango,mango
semi-scrambled,5,fruit_veg,mgano,mango
fully-scrambled,5,fruit_veg,gmoan,mango
identical,5,fruit_veg,olive,olive
semi-scrambled,5,fruit_veg,oivle,olive
fully-scrambled,5,fruit_veg,levio,olive
identical,5,fruit_veg,prune,prune
semi-scrambled,5,fruit_veg,punre,prune
fully-scrambled,5,fruit_veg,eprun,prune
identical,5,fruit_veg,peach,peach
semi-scrambled,5,fruit_veg,paceh,peach
fully-scrambled,5,fruit_veg,cpeha,peach
identical,6,fruit_veg,citrus,citrus
semi-scrambled,6,fruit_veg,cuitrs,citrus
fully-scrambled,6,fruit_veg,struci,citrus
identical,6,fruit_veg,carrot,carrot
semi-scrambled,6,fruit_veg,croart,carrot
fully-scrambled,6,fruit_veg,rcoatr,carrot
identical,6,fruit_veg,cherry,cherry
semi-scrambled,6,fruit_veg,crhery,cherry
fully-scrambled,6,fruit_veg,hcreyr,cherry
identical,6,fruit_veg,garlic,garlic
semi-scrambled,6,fruit_veg,giarlc,garlic
fully-scrambled,6,fruit_veg,aglrci,garlic
identical,6,fruit_veg,orange,orange
semi-scrambled,6,fruit_veg,ograne,orange
fully-scrambled,6,fruit_veg,enorag,orange
identical,6,fruit_veg,pepper,pepper
semi-scrambled,6,fruit_veg,ppeepr,pepper
fully-scrambled,6,fruit_veg,eperpp,pepper
identical,6,fruit_veg,potato,potato
semi-scrambled,6,fruit_veg,ptatoo,potato
fully-scrambled,6,fruit_veg,toatop,potato
identical,6,fruit_veg,squash,squash
semi-scrambled,6,fruit_veg,susqah,squash
fully-scrambled,6,fruit_veg,qsashu,squash
identical,7,fruit_veg,apricot,apricot
semi-scrambled,7,fruit_veg,aocpirt,apricot
fully-scrambled,7,fruit_veg,iotrapc,apricot
identical,7,fruit_veg,avocado,avocado
semi-scrambled,7,fruit_veg,aoadcvo,avocado
fully-scrambled,7,fruit_veg,oacvdoa,avocado
identical,7,fruit_veg,coconut,coconut
semi-scrambled,7,fruit_veg,ccunoot,coconut
fully-scrambled,7,fruit_veg,ncucoto,coconut
identical,7,fruit_veg,spinach,spinach
semi-scrambled,7,fruit_veg,snpicah,spinach
fully-scrambled,7,fruit_veg,panhcsi,spinach
identical,7,fruit_veg,rhubarb,rhubarb
semi-scrambled,7,fruit_veg,rrbauhb,rhubarb
fully-scrambled,7,fruit_veg,urbarbh,rhubarb
identical,7,fruit_veg,pumpkin,pumpkin
semi-scrambled,7,fruit_veg,piukpmn,pumpkin
fully-scrambled,7,fruit_veg,kpumpni,pumpkin
identical,7,fruit_veg,lettuce,lettuce
semi-scrambled,7,fruit_veg,lteucte,lettuce
fully-scrambled,7,fruit_veg,tleutec,lettuce
identical,7,fruit_veg,parsnip,parsnip
semi-scrambled,7,fruit_veg,pianrsp,parsnip
fully-scrambled,7,fruit_veg,isaprpn,parsnip
identical,8,fruit_veg,broccoli,broccoli
semi-scrambled,8,fruit_veg,bclorcoi,broccoli
fully-scrambled,8,fruit_veg,coblocir,broccoli
identical,8,fruit_veg,eggplant,eggplant
semi-scrambled,8,fruit_veg,eangglpt,eggplant
fully-scrambled,8,fruit_veg,genlgtpa,eggplant
identical,8,fruit_veg,scallion,scallion
semi-scrambled,8,fruit_veg,slcaolin,scallion
fully-scrambled,8,fruit_veg,liscanlo,scallion
identical,8,fruit_veg,zucchini,zucchini
semi-scrambled,8,fruit_veg,zcnhcuii,zucchini
fully-scrambled,8,fruit_veg,nchizuic,zucchini
identical,8,fruit_veg,mushroom,mushroom
