"acc","accuracy","average_response_time","avg_rt","background","block","block_picker","canvas_backend","compensation","condition","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","correct_start","count_backward_mask","count_block_1","count_block_2","count_block_3","count_break","count_counter_balance","count_experiment","count_fix","count_forward_mask","count_instructions","count_keyboard_response","count_logger","count_new_sequence","count_practice_loop","count_prime","count_start","count_target","count_trials","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","list","live_row","live_row_block_3","logfile","num_letters","opensesame_codename","opensesame_version","prime","repeat_cycle","response","response_break","response_instructions","response_keyboard_response","response_start","response_time","response_time_break","response_time_instructions","response_time_keyboard_response","response_time_start","round_decimals","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_backward_mask","time_block_1","time_block_2","time_block_3","time_break","time_counter_balance","time_experiment","time_fix","time_forward_mask","time_instructions","time_keyboard_response","time_logger","time_new_sequence","time_practice_loop","time_prime","time_start","time_target","time_trials","title","total_correct","total_response_time","total_responses","type","uniform_coordinates","width"
"0","0","2017.0362500066403","2017.0362500066403","black","block3","3","psycho","0","semi-scrambled","uniform","0","undefined","0","a","undefined","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","0","0","0","0","Wed Nov 23 13:44:21 2022","The main experiment item","yes","NA","Class1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class1","no","mono","no","18","no","white","no","no","768","NA","0","0","/Users/ethan/Documents/GitHub/OpenSesame/Class1/quickrun.csv","7","Lentiform Loewenfeld","3.3.12","glilroa","0","d","NA","space","d","space","2017.0362500066403","NA","5851.763917002245","2017.0362500066403","3394.9192500003846","2","1024","2","48000","-16","experiment","999","odd","gorilla","14154.427582994686","NA","NA","13035.502707993146","NA","3741.106041998137","3734.714124992024","13083.806832990376","14088.581292002345","3757.3700829962036","14188.22695799463","16206.548667003517","NA","NA","14122.54979199497","9633.491000000504","14188.079542000196","13078.677541998331","New experiment","0","2017.0362500066403","1","animal","yes","1024"
"0","0","1125.8435624986305","1125.8435624986305","black","block3","3","psycho","0","semi-scrambled","uniform","0","undefined","0","f","undefined","1","0","0","0","1","0","0","1","1","0","1","1","NA","NA","1","0","1","1","Wed Nov 23 13:44:21 2022","The main experiment item","yes","NA","Class1.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Class1","no","mono","no","18","no","white","no","no","768","NA","1","1","/Users/ethan/Documents/GitHub/OpenSesame/Class1/quickrun.csv","5","Lentiform Loewenfeld","3.3.12","paceh","0","d","NA","space","d","space","234.65087499062065","NA","5851.763917002245","234.65087499062065","3394.9192500003846","2","1024","2","48000","-16","experiment","999","odd","peach","17365.153833001386","NA","NA","13035.502707993146","NA","3741.106041998137","3734.714124992024","16293.380749993958","17298.51041699294","3757.3700829962036","17399.50050000334","17636.359458003426","NA","NA","17332.599667002796","9633.491000000504","17399.36562499497","16287.975332990754","New experiment","0","2251.687124997261","2","fruit_veg","yes","1024"
