browser_codename,browser_name,browser_version,condition,congruence,correct,counterbalance,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,prime,queryParams_batchId,queryParams_jatosWorkerId,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,soa_condition,system_os,target,time_mask1,time_mask2,time_prime
Mozilla,Netscape,5.0 (Macintosh),practice,practice,1,None,02-10-22,02-10-22,15:09:49,0,0,0,0,0,767,3.6.1,snjghf,-1,1,1482,1175,1920,30,1200,30,118,121,1920,practice,MacIntel,SHEEP,30834,30933,30883
Mozilla,Netscape,5.0 (Macintosh),practice,practice,1,None,02-10-22,02-10-22,15:09:49,0,0,0,0,0,767,3.6.1,abjdhjs,-1,1,541,1175,1920,30,1200,30,118,121,1920,practice,MacIntel,HORSE,33033,33133,33083
Mozilla,Netscape,5.0 (Macintosh),practice,practice,1,None,02-10-22,02-10-22,15:09:49,0,0,0,0,0,767,3.6.1,iweonf,-1,1,755,1175,1920,30,1200,30,118,121,1920,practice,MacIntel,BOAT,34283,34383,34333
Mozilla,Netscape,5.0 (Macintosh),practice,practice,1,None,02-10-22,02-10-22,15:09:49,0,0,0,0,0,767,3.6.1,nvoiuh,-1,1,685,1175,1920,30,1200,30,118,121,1920,practice,MacIntel,HOUSE,35765,35850,35800
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,A,02-10-22,02-10-22,15:09:49,0,0,0,0,0,767,3.6.1,sword,-1,1,863,1175,1920,30,1200,30,118,121,1920,short,MacIntel,SWORD,37199,37282,37234
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,A,02-10-22,02-10-22,15:09:49,0,0,0,0,0,767,3.6.1,cable,-1,1,331,1175,1920,30,1200,30,118,121,1920,short,MacIntel,CABLE,38733,38833,38783
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,A,02-10-22,02-10-22,15:09:49,0,0,0,0,0,767,3.6.1,tank,-1,1,426,1175,1920,30,1200,30,118,121,1920,short,MacIntel,TANK,39766,39866,39816
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,1,A,02-10-22,02-10-22,15:09:49,0,0,0,0,0,767,3.6.1,sewer,-1,1,418,1175,1920,30,1200,30,118,121,1920,short,MacIntel,CORAL,40899,40967,40932
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,A,02-10-22,02-10-22,15:09:49,0,0,0,0,0,767,3.6.1,mail,-1,1,466,1175,1920,30,1200,30,118,121,1920,short,MacIntel,MAIL,41982,42065,42016
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,1,A,02-10-22,02-10-22,15:09:49,0,0,0,0,0,767,3.6.1,grass,-1,1,387,1175,1920,30,1200,30,118,121,1920,short,MacIntel,GRASS,43149,43234,43183
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,1,A,02-10-22,02-10-22,15:09:49,0,0,0,0,0,767,3.6.1,puppy,-1,1,323,1175,1920,30,1200,30,118,121,1920,short,MacIntel,PUPPY,44233,44333,44283
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,A,02-10-22,02-10-22,15:09:49,0,0,0,0,0,767,3.6.1,frog,-1,1,2012,1175,1920,30,1200,30,118,121,1920,short,MacIntel,FROG,45284,45384,45333
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,A,02-10-22,02-10-22,15:09:49,0,0,0,0,0,767,3.6.1,poppy,-1,1,2013,1175,1920,30,1200,30,118,121,1920,short,MacIntel,DINGO,48016,48099,48051
