"condition","congruence","correct","prime","response_time","soa_condition","target"
"Con_Nat","congruent","1","peas","584.5124580082484","long","PEAS"
"Con_Synth","congruent","1","apron","732.442207983695","long","APRON"
"Con_Synth","congruent","1","scarf","610.8454160275869","long","SCARF"
"Inc_Nat_Synth","incongruent","1","cloud","615.4029169701971","long","MOTEL"
"Con_Synth","congruent","1","arrow","643.4937909943983","long","ARROW"
"Con_Nat","congruent","1","boar","642.1381249674596","long","BOAR"
"Con_Nat","congruent","1","wasp","642.7553330431692","long","WASP"
"Inc_Synth_Nat","incongruent","1","wire","643.3622500044294","long","BULL"
"Con_Synth","congruent","1","canoe","642.2431250102818","long","CANOE"
"Inc_Synth_Nat","incongruent","1","cake","671.2162920157425","long","LAND"
"Inc_Nat_Synth","incongruent","1","moose","614.67741697561","long","PORCH"
"Inc_Synth_Nat","incongruent","1","barn","522.9702079668641","long","TUNA"
"Inc_Nat_Synth","incongruent","1","fruit","584.334916959051","long","PLATE"
"Inc_Synth_Nat","incongruent","1","mall","643.5572080081329","long","BUSH"
"Inc_Nat_Synth","incongruent","1","swamp","584.960583015345","long","DRILL"
"Con_Synth","congruent","1","broom","611.0515419859439","long","BROOM"
"Con_Nat","congruent","1","hare","613.3470410131849","long","HARE"
"Inc_Nat_Synth","incongruent","1","flood","644.1677080001682","long","SKIRT"
"Con_Nat","congruent","1","stick","913.2946669706143","long","STICK"
"Inc_Nat_Synth","incongruent","1","storm","912.6572919776663","long","CANDY"
"Inc_Synth_Nat","incongruent","1","bowl","524.4865829590708","long","WOLF"
"Con_Synth","congruent","1","flute","764.7638339549303","long","FLUTE"
"Inc_Synth_Nat","incongruent","1","soap","522.6126670022495","long","PONY"
"Inc_Nat_Synth","incongruent","1","ocean","521.911124989856","long","WHEEL"
"Con_Nat","congruent","1","crab","582.3782089864835","long","CRAB"
"Con_Synth","congruent","1","stove","496.1407500086352","long","STOVE"
"Con_Synth","congruent","0","linen","552.6712920400314","long","LINEN"
"Con_Nat","congruent","1","reef","764.1976249869913","long","REEF"
"Con_Synth","congruent","1","jeans","584.4818750047125","long","JEANS"
"Inc_Nat_Synth","incongruent","1","eagle","552.4452499812469","long","WAGON"
"Con_Synth","congruent","1","ferry","643.4051659889519","long","FERRY"
"Con_Nat","congruent","0","stone","612.948916037567","long","STONE"
"Con_Synth","congruent","1","crate","792.9465410416014","long","CRATE"
"Con_Synth","congruent","1","flask","704.6732499729842","long","FLASK"
"Inc_Synth_Nat","incongruent","1","bell","583.3002090221271","long","BEAR"
"Con_Nat","congruent","1","swan","612.6046660356224","long","SWAN"
"Inc_Nat_Synth","incongruent","1","olive","598.3428329927847","long","MOTOR"
