browser_codename,browser_name,browser_version,condition,congruence,correct,counterbalance,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,prime,queryParams_batchId,queryParams_jatosWorkerId,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,soa_condition,system_os,target,time_mask1,time_mask2,time_prime
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,cloud,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,MOTEL,7682,60983,60934
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,shark,-1,1,2014,1175,1920,30,1200,30,118,121,1920,long,MacIntel,HILL,7682,63751,63701
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,pear,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,PEAR,7682,66517,66467
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,swan,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,SWAN,7682,69286,69235
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,stick,-1,1,2017,1175,1920,30,1200,30,118,121,1920,long,MacIntel,STICK,7682,72050,72000
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,arrow,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,ARROW,7682,74801,74767
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,lemon,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,DUCK,7682,77550,77517
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,jeans,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,JEANS,7682,80317,80268
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,roof,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,PIANO,7682,83066,83033
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,fruit,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,BEAR,7682,85817,85766
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,broom,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,BROOM,7682,88582,88534
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,olive,-1,1,2003,1175,1920,30,1200,30,118,121,1920,long,MacIntel,MOTOR,7682,91317,91283
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,sheep,-1,1,2017,1175,1920,30,1200,30,118,121,1920,long,MacIntel,BULL,7682,94066,94018
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,stair,-1,1,2017,1175,1920,30,1200,30,118,121,1920,long,MacIntel,STAIR,7682,96801,96767
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,flute,-1,1,2001,1175,1920,30,1200,30,118,121,1920,long,MacIntel,FLUTE,7682,99566,99517
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,tongs,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,TONGS,7682,102300,102250
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,peas,-1,1,2017,1175,1920,30,1200,30,118,121,1920,long,MacIntel,PEAS,7682,105051,105000
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,moss,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,MOSS,7682,107799,107766
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,swamp,-1,1,2014,1175,1920,30,1200,30,118,121,1920,long,MacIntel,DRILL,7682,110549,110501
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,ocean,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,TREE,7682,113299,113266
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,soap,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,PONY,7682,116049,116000
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,pipe,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,LION,7682,118799,118750
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,earth,-1,1,2017,1175,1920,30,1200,30,118,121,1920,long,MacIntel,EARTH,7682,121549,121500
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,slug,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,SLUG,7682,124299,124250
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,flood,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,SKIRT,7682,127033,127000
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,barn,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,TUNA,7682,129783,129736
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,canoe,-1,1,2011,1175,1920,30,1200,30,118,121,1920,long,MacIntel,CANOE,7682,132533,132484
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,apron,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,APRON,7682,135300,135251
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,clam,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,CLAM,7682,138049,138000
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,plum,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,PLUM,7682,140802,140750
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,ferry,-1,1,2017,1175,1920,30,1200,30,118,121,1920,long,MacIntel,FERRY,7682,143549,143515
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,bowl,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,WOLF,7682,146299,146250
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,wheat,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,BRICK,7682,149036,149000
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,reef,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,REEF,7682,151799,151750
