"condition","congruence","prime","response_time","soa_condition","target"
"Con_Synth","congruent","apron","759.9248339538462","long","APRON"
"Con_Nat","congruent","boar","496.4805409545079","long","BOAR"
"Inc_Synth_Nat","incongruent","taxi","631.0469590243883","long","DIRT"
"Con_Synth","congruent","jeans","704.0202909847721","long","JEANS"
"Inc_Nat_Synth","incongruent","sheep","852.9185830266215","long","TRASH"
"Inc_Synth_Nat","incongruent","bowl","579.3551669921726","long","WOLF"
"Con_Nat","congruent","reef","1003.1367079936899","long","REEF"
"Con_Synth","congruent","crate","559.7952920361422","long","CRATE"
"Con_Nat","congruent","crab","619.8700409731828","long","CRAB"
"Inc_Synth_Nat","incongruent","desk","827.5720420060679","long","TREE"
"Inc_Synth_Nat","incongruent","bell","600.6138329976238","long","BEAR"
"Inc_Synth_Nat","incongruent","fort","650.1304999692366","long","GOAT"
"Con_Synth","congruent","canoe","680.8449170202948","long","CANOE"
"Con_Nat","congruent","slug","543.5877080308273","long","SLUG"
"Con_Synth","congruent","stove","625.7879589684308","long","STOVE"
"Con_Synth","congruent","ferry","916.8858749908395","long","FERRY"
"Inc_Nat_Synth","incongruent","olive","530.8740829932503","long","MOTOR"
"Con_Nat","congruent","wasp","604.3387079844251","long","WASP"
"Inc_Synth_Nat","incongruent","shoe","710.0211660144851","long","HILL"
"Con_Synth","congruent","stair","829.7579580103047","long","STAIR"
"Con_Synth","congruent","scarf","635.3756670141593","long","SCARF"
"Inc_Nat_Synth","incongruent","flood","631.8354170070961","long","SKIRT"
"Con_Nat","congruent","peas","633.6780829587951","long","PEAS"
"Con_Synth","congruent","tongs","725.475707964506","long","TONGS"
"Inc_Nat_Synth","incongruent","shell","548.8025000086054","long","CHAIN"
"Inc_Nat_Synth","incongruent","shark","674.8593329684809","long","COUCH"
"Inc_Synth_Nat","incongruent","sink","579.7968339757062","long","LAMB"
"Con_Nat","congruent","stick","791.9965420151129","long","STICK"
