"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_keyboard_response_short","count_experiment","count_fixation","count_keyboard_response_short","count_logger_short","count_mask1","count_mask2","count_mask3","count_new_sequence","count_prime","count_short_loop","count_target","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_short_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","prime","repeat_cycle","response","response_keyboard_response_short","response_time","response_time_keyboard_response_short","round_decimals","sampler_backend","soa_condition","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_experiment","time_fixation","time_keyboard_response_short","time_logger_short","time_mask1","time_mask2","time_mask3","time_new_sequence","time_prime","time_short_loop","time_target","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","910.1280144835903","910.1280144835903","black","psycho","psycho","psycho","0","Inc_Nat_Synth","uniform","undefined","undefined","0","22","22","22","22","22","22","22","22","0","22","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","22","22","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","leaf","0","m","m","874.18591696769","874.18591696769","2","psycho","short","1024","2","48000","-16","experiment","0","even","coin","2035.6354160467163","98719.75870802999","102108.20916603552","102983.7934160023","101726.41866601771","102004.15387499379","102074.1058330168","98717.10262499982","102038.01954101073","2035.8145830105059","102108.05974999676","Masked_repetition_priming","0","20932.944333122578","23","yes","1024"
"undefined","undefined","904.8179236294042","904.8179236294042","black","psycho","psycho","psycho","0","Inc_Synth_Nat","uniform","undefined","undefined","0","23","23","23","23","23","23","23","23","0","23","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","23","23","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","ruler","0","n","n","782.6858339831233","782.6858339831233","2","psycho","short","1024","2","48000","-16","experiment","0","even","pansy","2035.6354160467163","103055.8200830128","106443.31141602015","107227.30633302126","106061.99704104802","106339.72833299777","106409.45883304812","103052.8456660104","106373.52662504418","2035.8145830105059","106443.19583300967","Masked_repetition_priming","0","21715.6301671057","24","yes","1024"
"undefined","undefined","905.3849233640358","905.3849233640358","black","psycho","psycho","psycho","0","Con_Synth","uniform","undefined","undefined","0","24","24","24","24","24","24","24","24","0","24","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","24","24","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","drug","0","m","m","918.9929169951938","918.9929169951938","2","psycho","short","1024","2","48000","-16","experiment","0","even","drug","2035.6354160467163","107298.96225000266","110687.1256660088","111607.49179101549","110305.3729160456","110583.77454103902","110653.4402500256","107295.5105000292","110617.5650000223","2035.8145830105059","110687.01004103059","Masked_repetition_priming","0","22634.623084100895","25","yes","1024"
"undefined","undefined","897.2905385039317","897.2905385039317","black","psycho","psycho","psycho","0","Inc_Nat_Synth","uniform","undefined","undefined","0","25","25","25","25","25","25","25","25","0","25","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","25","25","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","fern","0","m","m","694.9309170013294","694.9309170013294","2","psycho","short","1024","2","48000","-16","experiment","0","even","café","2035.6354160467163","111679.6686660382","115067.19366600737","115763.52708303602","114685.42279105168","114963.54037499987","115033.26687501976","111675.94416602515","114997.24479101133","2035.8145830105059","115067.07108300179","Masked_repetition_priming","0","23329.554001102224","26","yes","1024"
"undefined","undefined","893.0725478933675","893.0725478933675","black","psycho","psycho","psycho","0","Inc_Synth_Nat","uniform","undefined","undefined","0","26","26","26","26","26","26","26","26","0","26","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","26","26","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","arena","0","n","n","783.4047920187004","783.4047920187004","2","psycho","short","1024","2","48000","-16","experiment","0","even","vine","2035.6354160467163","115834.37875000527","119222.33508300269","120007.14904104825","118840.63475002768","119118.95241599996","119188.32366605056","115831.72795805149","119152.63716602931","2035.8145830105059","119222.21191599965","Masked_repetition_priming","0","24112.958793120924","27","yes","1024"
"undefined","undefined","894.0386131476511","894.0386131476511","black","psycho","psycho","psycho","0","Inc_Nat_Synth","uniform","undefined","undefined","0","27","27","27","27","27","27","27","27","0","27","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","27","27","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","grape","0","m","m","920.1223750133067","920.1223750133067","2","psycho","short","1024","2","48000","-16","experiment","0","even","shelf","2035.6354160467163","120078.959416016","123466.79500001483","124388.29458301188","123084.75112501765","123363.04412502795","123432.9381660209","120075.26783301728","123396.9252500101","2035.8145830105059","123466.67870803503","Masked_repetition_priming","0","25033.08116813423","28","yes","1024"
"undefined","undefined","890.236821900732","890.236821900732","black","psycho","psycho","psycho","0","Con_Synth","uniform","undefined","undefined","0","28","28","28","28","28","28","28","28","0","28","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","28","28","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","bike","0","m","m","783.7866669869982","783.7866669869982","2","psycho","short","1024","2","48000","-16","experiment","0","even","bike","2035.6354160467163","124459.95595800923","127848.36783300852","128633.51637503365","127466.4447500254","127744.72575000254","127814.51812502928","124456.94683300098","127778.5164579982","2035.8145830105059","127848.25241600629","Masked_repetition_priming","0","25816.86783512123","29","yes","1024"
"undefined","undefined","882.6846736716107","882.6846736716107","black","psycho","psycho","psycho","0","Inc_Synth_Nat","uniform","undefined","undefined","0","29","29","29","29","29","29","29","29","0","29","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","29","29","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","silo","0","n","n","663.6723750270903","663.6723750270903","2","psycho","short","1024","2","48000","-16","experiment","0","even","otter","2035.6354160467163","128705.46095800819","132093.01387501182","132758.00270802574","131711.6816660273","131989.89637504565","132059.3222080497","128701.72133302549","132023.5816250206","2035.8145830105059","132092.90200000396","Masked_repetition_priming","0","26480.54021014832","30","yes","1024"
"undefined","undefined","875.1495309726095","875.1495309726095","black","psycho","psycho","psycho","0","Con_Nat","uniform","undefined","undefined","0","30","30","30","30","30","30","30","30","0","30","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","30","30","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","creek","0","n","n","649.0952500025742","649.0952500025742","2","psycho","short","1024","2","48000","-16","experiment","0","even","creek","2035.6354160467163","132828.47170799505","136216.72908304026","136867.2179580317","135835.0402500364","136113.20283304667","136182.84633301664","132826.13458303967","136147.08575000986","2035.8145830105059","136216.60720801447","Masked_repetition_priming","0","27129.635460150894","31","yes","1024"
"undefined","undefined","874.6670742548304","874.6670742548304","black","psycho","psycho","psycho","0","Con_Synth","uniform","undefined","undefined","0","31","31","31","31","31","31","31","31","0","31","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","31","31","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","coat","0","m","m","859.710916003678","859.710916003678","2","psycho","short","1024","2","48000","-16","experiment","0","even","coat","2035.6354160467163","136938.40291601373","140326.23700000113","141187.27237504208","139944.6724160225","140223.0037500267","140292.4896660261","136934.9885410047","140256.73916604137","2035.8145830105059","140326.11566601554","Masked_repetition_priming","0","27989.34637615457","32","yes","1024"
"undefined","undefined","867.8349671853622","867.8349671853622","black","psycho","psycho","psycho","0","Inc_Synth_Nat","uniform","undefined","undefined","0","32","32","32","32","32","32","32","32","0","32","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","32","32","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","spade","0","n","n","649.2075409623794","649.2075409623794","2","psycho","short","1024","2","48000","-16","experiment","0","even","llama","2035.6354160467163","141258.06991604622","144646.249750047","145296.82645801222","144264.44691600045","144542.90475003654","144612.44754103245","141255.04625000758","144576.6502500046","2035.8145830105059","144646.1361250258","Masked_repetition_priming","0","28638.55391711695","33","yes","1024"
"undefined","undefined","865.8321311214582","865.8321311214582","black","psycho","psycho","psycho","0","Inc_Nat_Synth","uniform","undefined","undefined","0","33","33","33","33","33","33","33","33","0","33","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","33","33","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","finch","0","m","m","799.7385410126299","799.7385410126299","2","psycho","short","1024","2","48000","-16","experiment","0","even","spoon","2035.6354160467163","145368.2105410262","148756.67299999623","149557.8344160458","148374.66229102574","148653.11558300164","148722.87654102547","145364.84687501797","148686.89958303003","2035.8145830105059","148756.55579101294","Masked_repetition_priming","0","29438.29245812958","34","yes","1024"
"undefined","undefined","863.0344083466168","863.0344083466168","black","psycho","psycho","psycho","0","Inc_Synth_Nat","uniform","undefined","undefined","0","34","34","34","34","34","34","34","34","0","34","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","34","34","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","rake","0","n","n","767.9118340020068","767.9118340020068","2","psycho","short","1024","2","48000","-16","experiment","0","even","husky","2035.6354160467163","149629.4417080353","153017.82391604502","153787.1008750517","152635.85062499624","152914.37729104655","152984.03383302502","149626.03670801036","152948.20000004256","2035.8145830105059","153017.70545804175","Masked_repetition_priming","0","30206.204292131588","35","yes","1024"
"undefined","undefined","864.1814722262401","864.1814722262401","black","psycho","psycho","psycho","0","Con_Synth","uniform","undefined","undefined","0","35","35","35","35","35","35","35","35","0","35","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","35","35","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","doll","0","m","m","904.328708013054","904.328708013054","2","psycho","short","1024","2","48000","-16","experiment","0","even","doll","2035.6354160467163","153859.00954104727","157246.82500003837","158152.63962501194","156865.09320803452","157143.54537503095","157213.1095410441","153855.3108330234","157177.27258300874","2035.8145830105059","157246.6942910105","Masked_repetition_priming","0","31110.533000144642","36","yes","1024"
"undefined","undefined","891.6161373820836","891.6161373820836","black","psycho","psycho","psycho","0","Inc_Synth_Nat","uniform","undefined","undefined","0","36","36","36","36","36","36","36","36","0","36","Thu Oct 27 13:28:47 2022","The main experiment item","yes","Masked_repetition_priming.osexp","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment","no","mono","no","18","no","white","no","yes","768","psycho","36","36","/Users/ethan/Documents/GitHub/OpenSesame/Masked repetition priming/experiment/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.12","sash","0","n","n","1879.2640829924494","1879.2640829924494","2","psycho","short","1024","2","48000","-16","experiment","0","even","dingo","2035.6354160467163","158223.73258305015","161611.602375051","163492.24400002277","161230.15712504275","161508.39695800096","161577.88979104953","158220.79000005033","161542.0896250289","2035.8145830105059","161611.48958303966","Masked_repetition_priming","0","32989.79708313709","37","yes","1024"
