,Mod_level,Prime_word,Target,Category,correct_response,word_length,Block
12,unrelated,SHOE,WALL,manmade,M,4.0,block1
28,unrelated,KNEE,CAKE,manmade,M,4.0,block1
48,unrelated,BUNS,LIST,manmade,M,4.0,block1
96,unrelated,CANNY,CANDY,manmade,M,5.0,block1
136,unrelated,BOOK,LOCK,manmade,M,4.0,block1
160,unrelated,JEANS,PHONE,manmade,M,5.0,block1
196,unrelated,TRAP,TOYS,manmade,M,4.0,block1
17,exact,BALL,BALL,manmade,M,4.0,block1
37,exact,TRUCK,TRUCK,manmade,M,5.0,block1
53,exact,PAGE,PAGE,manmade,M,4.0,block1
113,exact,DESK,DESK,manmade,M,4.0,block1
141,exact,MAIL,MAIL,manmade,M,4.0,block1
165,exact,PIZZA,PIZZA,manmade,M,5.0,block1
205,exact,VASE,VASE,manmade,M,4.0,block1
22,one_modification,[OAT,COAT,manmade,M,4.0,block1
42,one_modification,BR3AD,BREAD,manmade,M,5.0,block1
86,one_modification,13OOK,BOOK,manmade,M,4.0,block1
118,one_modification,DI5H,DISH,manmade,M,4.0,block1
150,one_modification,0VEN,OVEN,manmade,M,4.0,block1
174,one_modification,SHO3,SHOE,manmade,M,4.0,block1
27,two_modifications,L4M|*,LAMP,manmade,M,4.0,block1
47,two_modifications,T00L,TOOL,manmade,M,4.0,block1
91,two_modifications,C46E,CAGE,manmade,M,4.0,block1
127,two_modifications,K|\|iF€,KNIFE,manmade,M,5.0,block1
155,two_modifications,P4P3R,PAPER,manmade,M,5.0,block1
179,two_modifications,S1N>|,SINK,manmade,M,4.0,block1
0,unrelated,NOIR,NUTS,natural,N,4.0,block1
56,unrelated,MOUSE,WATER,natural,N,5.0,block1
72,unrelated,TOYS,BIRD,natural,N,4.0,block1
100,unrelated,TREE,CATS,natural,N,4.0,block1
128,unrelated,ROCK,LAMB,natural,N,4.0,block1
168,unrelated,LEGS,PLUM,natural,N,4.0,block1
192,unrelated,LOUSE,TIGER,natural,N,5.0,block1
5,exact,RAIN,RAIN,natural,N,4.0,block1
61,exact,DUCK,DUCK,natural,N,4.0,block1
77,exact,PONY,PONY,natural,N,4.0,block1
105,exact,STORM,STORM,natural,N,4.0,block1
133,exact,LEAF,LEAF,natural,N,4.0,block1
181,exact,SNAIL,SNAIL,natural,N,5.0,block1
201,exact,TUNA,TUNA,natural,N,4.0,block1
10,one_modification,SHEE|*,SHEEP,natural,N,5.0,block1
66,one_modification,DOG5,DOGS,natural,N,4.0,block1
82,one_modification,I3EAK,BEAK,natural,N,4.0,block1
110,one_modification,CR0W,CROW,natural,N,4.0,block1
146,one_modification,MOOИ,MOON,natural,N,4.0,block1
186,one_modification,5N0W,SNOW,natural,N,4.0,block1
35,two_modifications,4PPL3,APPLE,natural,N,5.0,block1
71,two_modifications,WO1|=,WOLF,natural,N,4.0,block1
95,two_modifications,CAM31,CAMEL,natural,N,5.0,block1
123,two_modifications,3GG5,EGGS,natural,N,4.0,block1
159,two_modifications,P€/\R,PEAR,natural,N,4.0,block1
191,two_modifications,57ONE,STONE,natural,N,5.0,block1
