Mod_level,Prime_word,Target,Category,correct_response,word_length
one_modification,MA1L,MAIL,manmade,M,4
two_modifications,/\\/\\A1L,MAIL,manmade,M,4
unrelated,CATS,MOON,natural,N,4
exact,MOON,MOON,natural,N,4
one_modification,MOOИ,MOON,natural,N,4
two_modifications,M00N,MOON,natural,N,4
unrelated,TOMB,OVEN,manmade,M,4
exact,OVEN,OVEN,manmade,M,4
one_modification,0VEN,OVEN,manmade,M,4
two_modifications,OV3И,OVEN,manmade,M,4
unrelated,MOOSE,PAPER,manmade,M,5
exact,PAPER,PAPER,manmade,M,5
one_modification,P4PER,PAPER,manmade,M,5
two_modifications,P4P3R,PAPER,manmade,M,5
unrelated,BEAD,PEAR,natural,N,4
exact,PEAR,PEAR,natural,N,4
one_modification,P€AR,PEAR,natural,N,4
two_modifications,P€/\R,PEAR,natural,N,4
unrelated,JEANS,PHONE,manmade,M,5
exact,PHONE,PHONE,manmade,M,5
one_modification,P#ONE,PHONE,manmade,M,5
two_modifications,|*H0NE,PHONE,manmade,M,5
unrelated,PRUNE,PIZZA,manmade,M,5
exact,PIZZA,PIZZA,manmade,M,5
one_modification,|*IZZA,PIZZA,manmade,M,5
two_modifications,|*1ZZA,PIZZA,manmade,M,5
unrelated,LEGS,PLUM,natural,N,4
exact,PLUM,PLUM,natural,N,4
one_modification,|*LUM,PLUM,natural,N,4
two_modifications,|*1UM,PLUM,natural,N,4
unrelated,TENT,SHOE,manmade,M,4
exact,SHOE,SHOE,manmade,M,4
one_modification,SHO3,SHOE,manmade,M,4
two_modifications,S#0E,SHOE,manmade,M,4
unrelated,TYRE,SINK,manmade,M,4
exact,SINK,SINK,manmade,M,4
one_modification,5INK,SINK,manmade,M,4
two_modifications,S1N>|,SINK,manmade,M,4
unrelated,HOUSE,SNAIL,natural,N,5
exact,SNAIL,SNAIL,natural,N,5
one_modification,5NAIL,SNAIL,natural,N,5
two_modifications,5N4IL,SNAIL,natural,N,5
unrelated,FROG,SNOW,natural,N,4
exact,SNOW,SNOW,natural,N,4
one_modification,5N0W,SNOW,natural,N,4
two_modifications,SИ0W,SNOW,natural,N,4
unrelated,WATER,STONE,natural,N,5
exact,STONE,STONE,natural,N,5
one_modification,ST0NE,STONE,natural,N,5
two_modifications,57ONE,STONE,natural,N,5
unrelated,LOUSE,TIGER,natural,N,5
exact,TIGER,TIGER,natural,N,5
one_modification,TIG3R,TIGER,natural,N,5
two_modifications,7IG3R,TIGER,natural,N,5
unrelated,TRAP,TOYS,manmade,M,4
exact,TOYS,TOYS,manmade,M,4
one_modification,TOjS,TOYS,manmade,M,4
two_modifications,7OY5,TOYS,manmade,M,4
unrelated,WOOD,TUNA,natural,N,4
exact,TUNA,TUNA,natural,N,4
one_modification,TUN4,TUNA,natural,N,4
two_modifications,T(_)N4,TUNA,natural,N,4
unrelated,LION,VASE,manmade,M,4
exact,VASE,VASE,manmade,M,4
one_modification,\\/ASE,VASE,manmade,M,4
two_modifications,V4S3,VASE,manmade,M,4
,,,,,
,,,,,
,,,,,
