,Mod_level,Prime_word,Target,Category,correct_response,word_length,Block
16,unrelated,BATH,BALL,manmade,M,4.0,block2
36,unrelated,MOOSE,TRUCK,manmade,M,5.0,block2
52,unrelated,BREAD,PAGE,manmade,M,4.0,block2
112,unrelated,CRAB,DESK,manmade,M,4.0,block2
140,unrelated,STAR,MAIL,manmade,M,4.0,block2
164,unrelated,PRUNE,PIZZA,manmade,M,5.0,block2
204,unrelated,LION,VASE,manmade,M,4.0,block2
21,exact,COAT,COAT,manmade,M,4.0,block2
41,exact,BREAD,BREAD,manmade,M,5.0,block2
85,exact,BOOK,BOOK,manmade,M,4.0,block2
117,exact,DISH,DISH,manmade,M,4.0,block2
149,exact,OVEN,OVEN,manmade,M,4.0,block2
173,exact,SHOE,SHOE,manmade,M,4.0,block2
26,one_modification,LAM|*,LAMP,manmade,M,4.0,block2
46,one_modification,TOO1,TOOL,manmade,M,4.0,block2
90,one_modification,C4GE,CAGE,manmade,M,4.0,block2
126,one_modification,K|\|iFE,KNIFE,manmade,M,5.0,block2
154,one_modification,P4PER,PAPER,manmade,M,5.0,block2
178,one_modification,5INK,SINK,manmade,M,4.0,block2
15,two_modifications,\\/\\/4LL,WALL,manmade,M,4.0,block2
31,two_modifications,[AK3,CAKE,manmade,M,4.0,block2
51,two_modifications,LI$7,LIST,manmade,M,4.0,block2
99,two_modifications,C4N)Y,CANDY,manmade,M,5.0,block2
139,two_modifications,1O[K,LOCK,manmade,M,4.0,block2
163,two_modifications,|*H0NE,PHONE,manmade,M,5.0,block2
199,two_modifications,7OY5,TOYS,manmade,M,4.0,block2
4,unrelated,RUNE,RAIN,natural,N,4.0,block2
60,unrelated,DRUM,DUCK,natural,N,4.0,block2
76,unrelated,ROCK,PONY,natural,N,4.0,block2
104,unrelated,TROOP,STORM,natural,N,4.0,block2
132,unrelated,CAKE,LEAF,natural,N,4.0,block2
180,unrelated,HOUSE,SNAIL,natural,N,5.0,block2
200,unrelated,WOOD,TUNA,natural,N,4.0,block2
9,exact,SHEEP,SHEEP,natural,N,5.0,block2
65,exact,DOGS,DOGS,natural,N,4.0,block2
81,exact,BEAK,BEAK,natural,N,4.0,block2
109,exact,CROW,CROW,natural,N,4.0,block2
145,exact,MOON,MOON,natural,N,4.0,block2
185,exact,SNOW,SNOW,natural,N,4.0,block2
34,one_modification,A|*PLE,APPLE,natural,N,5.0,block2
70,one_modification,\\/\\/OLF,WOLF,natural,N,4.0,block2
94,one_modification,CAM3L,CAMEL,natural,N,5.0,block2
122,one_modification,EGG5,EGGS,natural,N,4.0,block2
158,one_modification,P€AR,PEAR,natural,N,4.0,block2
190,one_modification,ST0NE,STONE,natural,N,5.0,block2
3,two_modifications,NU75,NUTS,natural,N,4.0,block2
59,two_modifications,W4T3R,WATER,natural,N,5.0,block2
75,two_modifications,I3IR),BIRD,natural,N,4.0,block2
103,two_modifications,C4T5,CATS,natural,N,4.0,block2
131,two_modifications,L4MI3,LAMB,natural,N,4.0,block2
171,two_modifications,|*1UM,PLUM,natural,N,4.0,block2
195,two_modifications,7IG3R,TIGER,natural,N,5.0,block2
