,Mod_level,Prime_word,Target,Category,correct_response,word_length,Block
20,unrelated,HOME,COAT,manmade,M,4.0,block3
40,unrelated,TRICK,BREAD,manmade,M,5.0,block3
84,unrelated,SOCK,BOOK,manmade,M,4.0,block3
116,unrelated,BOOT,DISH,manmade,M,4.0,block3
148,unrelated,TOMB,OVEN,manmade,M,4.0,block3
172,unrelated,TENT,SHOE,manmade,M,4.0,block3
25,exact,LAMP,LAMP,manmade,M,4.0,block3
45,exact,TOOL,TOOL,manmade,M,4.0,block3
89,exact,CAGE,CAGE,manmade,M,4.0,block3
125,exact,KNIFE,KNIFE,manmade,M,5.0,block3
153,exact,PAPER,PAPER,manmade,M,5.0,block3
177,exact,SINK,SINK,manmade,M,4.0,block3
14,one_modification,W4LL,WALL,manmade,M,4.0,block3
30,one_modification,CAK3,CAKE,manmade,M,4.0,block3
50,one_modification,LI$T,LIST,manmade,M,4.0,block3
98,one_modification,C4NDY,CANDY,manmade,M,5.0,block3
138,one_modification,1OCK,LOCK,manmade,M,4.0,block3
162,one_modification,P#ONE,PHONE,manmade,M,5.0,block3
198,one_modification,TOjS,TOYS,manmade,M,4.0,block3
19,two_modifications,B411,BALL,manmade,M,4.0,block3
39,two_modifications,TI2UC>|,TRUCK,manmade,M,5.0,block3
55,two_modifications,P46E,PAGE,manmade,M,4.0,block3
115,two_modifications,)E5K,DESK,manmade,M,4.0,block3
143,two_modifications,/\\/\\A1L,MAIL,manmade,M,4.0,block3
167,two_modifications,|*1ZZA,PIZZA,manmade,M,5.0,block3
207,two_modifications,V4S3,VASE,manmade,M,4.0,block3
8,unrelated,RIGHT,SHEEP,natural,N,5.0,block3
64,unrelated,BREAD,DOGS,natural,N,4.0,block3
80,unrelated,PLOT,BEAK,natural,N,4.0,block3
108,unrelated,DEER,CROW,natural,N,4.0,block3
144,unrelated,CATS,MOON,natural,N,4.0,block3
184,unrelated,FROG,SNOW,natural,N,4.0,block3
33,exact,APPLE,APPLE,natural,N,5.0,block3
69,exact,WOLF,WOLF,natural,N,4.0,block3
93,exact,CAMEL,CAMEL,natural,N,5.0,block3
121,exact,EGGS,EGGS,natural,N,4.0,block3
157,exact,PEAR,PEAR,natural,N,4.0,block3
189,exact,STONE,STONE,natural,N,5.0,block3
2,one_modification,^/UTS,NUTS,natural,N,4.0,block3
58,one_modification,W4TER,WATER,natural,N,5.0,block3
74,one_modification,B1RD,BIRD,natural,N,4.0,block3
102,one_modification,CA7S,CATS,natural,N,4.0,block3
130,one_modification,1AMB,LAMB,natural,N,4.0,block3
170,one_modification,|*LUM,PLUM,natural,N,4.0,block3
194,one_modification,TIG3R,TIGER,natural,N,5.0,block3
7,two_modifications,RA1^/,RAIN,natural,N,4.0,block3
63,two_modifications,)U[K,DUCK,natural,N,4.0,block3
79,two_modifications,P0ИY,PONY,natural,N,4.0,block3
107,two_modifications,S7OR/\/\,STORM,natural,N,4.0,block3
135,two_modifications,LE4|=,LEAF,natural,N,4.0,block3
183,two_modifications,5N4IL,SNAIL,natural,N,5.0,block3
203,two_modifications,T(_)N4,TUNA,natural,N,4.0,block3
