"","id","condition","span","correct_answer","participant_answer","correct","rt","percent_correct"
"399","4","numbers","5","296466","29646","FALSE",426,66.67
"400","4","numbers","6","433644","433645","FALSE",569,50
"401","4","numbers","6","318444","318444","TRUE",375,66.67
"402","4","numbers","7","6399664","36996543","FALSE",507,57.14
"403","4","numbers","7","9618554","9618543","FALSE",1079,85.71
"404","3","letters","3","vjy","vjy","TRUE",2197,100
"405","3","letters","3","zvy","zvy","TRUE",14384,100
"406","3","letters","4","zxmy","zxmy","TRUE",836,100
"407","3","letters","4","tqtf","tqtf","TRUE",2149,75
"408","3","letters","5","dyvfxx","dyvfx","FALSE",1106,83.33
"409","3","letters","5","imvtkk","imvtk","FALSE",1369,83.33
"410","3","letters","6","grypyy","grypyr","FALSE",1963,66.67
"411","3","letters","6","imuuee","imuuer","FALSE",1235,66.67
"412","3","letters","7","vezgssl","vesglqr","FALSE",1445,71.43
"413","3","letters","7","uptxiif","uptxipf","FALSE",1326,85.71
"414","3","numbers","3","395","395","TRUE",1372,100
"415","3","numbers","3","183","183","TRUE",1126,100
"416","3","numbers","4","6554","6554","TRUE",1015,75
"417","3","numbers","4","5551","5551","TRUE",694,50
"418","3","numbers","5","524122","52412","FALSE",1187,66.67
"419","3","numbers","5","296466","29646","FALSE",1680,66.67
"420","3","numbers","6","433644","433645","FALSE",12406,50
"421","3","numbers","6","318444","318444","TRUE",1100,66.67
"422","3","numbers","7","6399664","6399654","FALSE",1048,57.14
"423","3","numbers","7","9618554","9618534","FALSE",991,85.71
"424","2","letters","3","vjy","vjy","TRUE",819,100
"425","2","letters","3","zvy","zvy","TRUE",790,100
"426","2","letters","4","zxmy","zxmy","TRUE",401,100
"427","2","letters","4","tqtf","tqtf","TRUE",364,75
"428","2","letters","5","dyvfxx","dyvfx","FALSE",888,83.33
"429","2","letters","5","imvtkk","imvtk","FALSE",3695,83.33
"430","2","letters","6","grypyy","gypqr","FALSE",1999,66.67
"431","2","letters","6","imuuee","imuuer","FALSE",1356,66.67
"432","2","letters","7","vezgssl","vegsql","FALSE",1457,71.43
"433","2","letters","7","uptxiif","uptxef","FALSE",1719,71.43
"434","2","numbers","3","395","395","TRUE",521,100
"435","2","numbers","3","183","183","TRUE",560,100
"436","2","numbers","4","6554","6554","TRUE",541,75
"437","2","numbers","4","5551","4551","FALSE",640,50
"438","2","numbers","5","524122","52412","FALSE",812,66.67
"439","2","numbers","5","296466","29646","FALSE",1474,66.67
"440","2","numbers","6","433644","433645","FALSE",483,50
"441","2","numbers","6","318444","318444","TRUE",403,66.67
"442","2","numbers","7","6399664","6399654","FALSE",1121,57.14
"443","2","numbers","7","9618554","961854","FALSE",2698,85.71
"444","1","letters","3","vjy","vjy","TRUE",1613,100
"445","1","letters","3","zvy","zvy","TRUE",442,100
"446","1","letters","4","zxmy","zxmy","TRUE",133,100
"447","1","letters","4","tqtf","tqtf","TRUE",270,75
"448","1","letters","5","dyvfxx","dyvfx","FALSE",206,83.33
"449","1","letters","5","imvtkk","imvtk","FALSE",246,83.33
"450","1","letters","6","grypyy","grypyyr","FALSE",412,66.67
"451","1","letters","6","imuuee","imuuer","FALSE",1620,66.67
"452","1","letters","7","vezgssl","vezgk","FALSE",1460,57.14
"453","1","letters","7","uptxiif","uitpxf","FALSE",360,85.71
"454","1","numbers","3","395","395","TRUE",413,100
"455","1","numbers","3","183","183","TRUE",400,100
"456","1","numbers","4","6554","6554","TRUE",617,75
"457","1","numbers","4","5551","5551","TRUE",773,50
"458","1","numbers","5","524122","52412","FALSE",1014,66.67
"459","1","numbers","5","296466","29646","FALSE",1377,66.67
"460","1","numbers","6","433644","433645","FALSE",1834,50
"461","1","numbers","6","318444","318444","TRUE",4463,66.67
"462","1","numbers","7","6399664","6399554","FALSE",864,57.14
"463","1","numbers","7","9618554","9685134","FALSE",1209,85.71
"464","27","letters","3","vjy","vjy","TRUE",1407,100
"465","27","letters","3","zvy","zvjy","FALSE",3504,100
