"","Span","ID","Condition","rt"
"210","3","22","numbers",466.5
"211","4","22","numbers",593
"212","5","22","numbers",308
"213","6","22","numbers",603.5
"214","7","22","numbers",425
"215","3","23","numbers",434.5
"216","4","23","numbers",348
"217","5","23","numbers",713.5
"218","6","23","numbers",213.5
"219","7","23","numbers",650.5
"220","3","24","numbers",1687.5
"221","4","24","numbers",1943
"222","5","24","numbers",1174.5
"223","6","24","numbers",1159.5
"224","7","24","numbers",2190.5
"225","3","25","numbers",307
"226","4","25","numbers",330
"227","5","25","numbers",668
"228","6","25","numbers",287.5
"229","7","25","numbers",341
"230","3","26","numbers",828
"231","4","26","numbers",538
"232","5","26","numbers",487.5
"233","6","26","numbers",597
"234","7","26","numbers",3048
