"","Span","ID","Condition","rt"
"1","3","1","letters",1027.5
"2","4","1","letters",201.5
"3","5","1","letters",226
"4","6","1","letters",1016
"5","7","1","letters",910
"6","3","2","letters",804.5
"7","4","2","letters",382.5
"8","5","2","letters",2291.5
"9","6","2","letters",1677.5
"10","7","2","letters",1588
"11","3","3","letters",8290.5
"12","4","3","letters",1492.5
"13","5","3","letters",1237.5
"14","6","3","letters",1599
"15","7","3","letters",1385.5
"16","3","4","letters",357.5
"17","4","4","letters",467.5
"18","5","4","letters",731.5
"19","6","4","letters",471.5
"20","7","4","letters",1535
"21","3","5","letters",399.5
"22","4","5","letters",406.5
"23","5","5","letters",659.5
"24","6","5","letters",425
"25","7","5","letters",1504.5
"26","3","6","letters",1760.5
"27","4","6","letters",1926
"28","5","6","letters",1152.5
"29","6","6","letters",736.5
"30","7","6","letters",572
"31","3","7","letters",1236.5
"32","4","7","letters",488
"33","5","7","letters",892.5
"34","6","7","letters",313.5
"35","7","7","letters",623.5
"36","3","8","letters",870.5
"37","4","8","letters",1268
"38","5","8","letters",1806.5
"39","6","8","letters",1058.5
"40","7","8","letters",509
"41","3","9","letters",2155
"42","4","9","letters",4555.5
"43","5","9","letters",4956.5
"44","6","9","letters",4813.5
"45","7","9","letters",3035.5
"46","3","10","letters",1075
"47","4","10","letters",695
"48","5","10","letters",1246.5
"49","6","10","letters",690.5
"50","7","10","letters",419.5
"51","3","11","letters",820
"52","4","11","letters",1286
"53","5","11","letters",954.5
"54","6","11","letters",1448.5
"55","7","11","letters",1088
"56","3","12","letters",835.5
"57","4","12","letters",491
"58","5","12","letters",985.5
"59","6","12","letters",747.5
"60","7","12","letters",1748.5
"61","3","13","letters",1926
"62","3","14","letters",608
"63","3","15","letters",695
"64","3","16","letters",598.5
"65","4","16","letters",364.5
"66","5","16","letters",443
"67","6","16","letters",842
"68","7","16","letters",403
"69","3","17","letters",543.5
"70","4","17","letters",793.5
"71","5","17","letters",1612
"72","6","17","letters",1874
"73","7","17","letters",648.5
"74","3","18","letters",993
"75","4","18","letters",1661.5
"76","5","18","letters",663.5
"77","6","18","letters",777
"78","7","18","letters",2025
"79","3","19","letters",474
"80","4","19","letters",444
"81","5","19","letters",370.5
"82","6","19","letters",449
"83","7","19","letters",739
"84","3","20","letters",395.5
"85","4","20","letters",431.5
"86","5","20","letters",332
"87","6","20","letters",684
"88","7","20","letters",2175.5
"89","3","21","letters",579.5
"90","4","21","letters",1012.5
"91","5","21","letters",1384
"92","6","21","letters",1136.5
"93","7","21","letters",712
"94","3","22","letters",524
"95","4","22","letters",483
"96","5","22","letters",484
"97","6","22","letters",495.5
"98","7","22","letters",434
"99","3","23","letters",1349
"100","4","23","letters",632
"101","5","23","letters",949.5
"102","6","23","letters",372
"103","7","23","letters",355
"104","3","24","letters",1181.5
"105","4","24","letters",1420.5
"106","5","24","letters",1210.5
"107","6","24","letters",980.5
"108","7","24","letters",3007.5
"109","3","25","letters",845.5
"110","4","25","letters",375.5
"111","5","25","letters",2114
"112","6","25","letters",605.5
"113","7","25","letters",520.5
"114","3","26","letters",607
"115","4","26","letters",418
"116","5","26","letters",1266.5
"117","6","26","letters",1097.5
"118","7","26","letters",1122.5
"119","3","27","letters",2455.5
"120","3","1","numbers",406.5
"121","4","1","numbers",695
"122","5","1","numbers",1195.5
"123","6","1","numbers",3148.5
"124","7","1","numbers",1036.5
"125","3","2","numbers",540.5
"126","4","2","numbers",590.5
"127","5","2","numbers",1143
"128","6","2","numbers",443
"129","7","2","numbers",1909.5
"130","3","3","numbers",1249
"131","4","3","numbers",854.5
"132","5","3","numbers",1433.5
"133","6","3","numbers",6753
"134","7","3","numbers",1019.5
"135","3","4","numbers",408.5
"136","4","4","numbers",420.5
"137","5","4","numbers",453.5
"138","6","4","numbers",472
"139","7","4","numbers",793
"140","3","5","numbers",447
"141","4","5","numbers",398
"142","5","5","numbers",509.5
"143","6","5","numbers",432.5
"144","7","5","numbers",431
"145","3","6","numbers",411.5
"146","4","6","numbers",470
"147","5","6","numbers",1067
"148","6","6","numbers",2197.5
"149","7","6","numbers",538
"150","3","7","numbers",358
"151","4","7","numbers",460
"152","5","7","numbers",461.5
"153","6","7","numbers",726
"154","7","7","numbers",732.5
"155","3","8","numbers",454
"156","4","8","numbers",491.5
"157","5","8","numbers",306.5
"158","6","8","numbers",1129
"159","7","8","numbers",241.5
"160","3","9","numbers",2269.5
"161","4","9","numbers",6793.5
"162","5","9","numbers",3251.5
"163","6","9","numbers",3243
"164","7","9","numbers",2089.5
"165","3","10","numbers",323.5
"166","4","10","numbers",498.5
"167","5","10","numbers",1264.5
"168","6","10","numbers",902
"169","7","10","numbers",1171
"170","3","11","numbers",571
"171","4","11","numbers",626
"172","5","11","numbers",1515.5
"173","6","11","numbers",846
"174","7","11","numbers",1381
"175","3","12","numbers",865.5
"176","4","12","numbers",661
"177","5","12","numbers",1580.5
"178","6","12","numbers",1241
"179","7","12","numbers",878
"180","3","16","numbers",484
"181","4","16","numbers",813.5
"182","5","16","numbers",1704.5
"183","6","16","numbers",426
"184","7","16","numbers",2893.5
"185","3","17","numbers",792.5
"186","4","17","numbers",585.5
"187","5","17","numbers",646.5
"188","6","17","numbers",796.5
"189","7","17","numbers",577.5
"190","3","18","numbers",490.5
"191","4","18","numbers",697
"192","5","18","numbers",609.5
"193","6","18","numbers",647
"194","7","18","numbers",683.5
"195","3","19","numbers",373
"196","4","19","numbers",342
"197","5","19","numbers",428
"198","6","19","numbers",636
"199","7","19","numbers",2557
"200","3","20","numbers",220.5
"201","4","20","numbers",350
"202","5","20","numbers",600.5
"203","6","20","numbers",567.5
"204","7","20","numbers",1091
"205","3","21","numbers",721.5
"206","4","21","numbers",737.5
"207","5","21","numbers",1657.5
"208","6","21","numbers",327.5
"209","7","21","numbers",445.5
