"response_time","sentence_nr","unit_content"
"2348","1","[U1]"
"424","1","[U2]"
"443","1","[U3]"
"364","1","[U4]"
"271","1","[U5]"
"234","1","[U6]"
"207","1","[target]"
"221","1","[U8]"
"176","1","[U9]"
"204","1","[U10]"
"204","2","[U1]"
"145","2","[U2]"
"195","2","[U3]"
"191","2","[U4]"
"194","2","[U5]"
"213","2","[U6]"
"200","2","[target]"
"226","2","[U8]"
"181","2","[U9]"
"184","2","[U10]"
